policy_id,candidate_branch,tail_importance_rank,line_loading_11_28,line_loading_12_00,delta_line_loading,P_L_11_28,P_L_12_00,delta_P_L,whether_policy_reduces_12mps_tail_branch_loading,whether_policy_reduces_12mps_tail_branch_PL,policy_candidate_status,note
slack_only_balance,5,1,0.679385061749493,0.843954684609183,0.16456962285969,0.001575046477,0.001575046477,0,0,0,not_candidate_currently,Top tail branch comparison under base-case policy only.
slack_only_balance,6,2,1.60317835021966,1.93374740746107,0.33056905724141,1,1,0,0,0,not_candidate_currently,Top tail branch comparison under base-case policy only.
slack_only_balance,7,3,0.782044412300891,0.920038967193374,0.137994554892483,0.001532132434,0.201434430147194,0.199902297713194,0,0,not_candidate_currently,Top tail branch comparison under base-case policy only.
slack_only_balance,30,4,0.922032903753363,1.0451997858489,0.123166882095537,0.221493372847736,1,0.778506627152264,0,0,not_candidate_currently,Top tail branch comparison under base-case policy only.
slack_only_balance,31,5,0.2281219819721,0.29239949522163,0.06427751324953,0.001679836582,0.001679836582,0,0,0,not_candidate_currently,Top tail branch comparison under base-case policy only.
slack_only_balance,4,6,1.20882435513418,1.36713632687121,0.15831197173703,1,1,0,0,0,not_candidate_currently,Top tail branch comparison under base-case policy only.
slack_only_balance,40,7,0.189325838150098,0.25506141371254,0.065735575562442,0.00158802049,0.00158802049,0,0,0,not_candidate_currently,Top tail branch comparison under base-case policy only.
slack_only_balance,41,8,0.896740384863301,0.980037787582706,0.083297402719405,0.001555086457,0.799967965400638,0.798412878943638,0,0,not_candidate_currently,Top tail branch comparison under base-case policy only.
slack_only_balance,43,9,0.438988327406541,0.480014932693698,0.041026605287157,0.001575046477,0.001575046477,0,0,0,not_candidate_currently,Top tail branch comparison under base-case policy only.
slack_only_balance,44,10,0.522973253957957,0.564640496285124,0.041667242327167,0.001123950025,0.001123950025,0,0,0,not_candidate_currently,Top tail branch comparison under base-case policy only.
proportional_conventional_redispatch,5,1,0.439970975359483,0.471489090676799,0.031518115317316,0.001575046477,0.001575046477,0,0,0,not_candidate_currently,Top tail branch comparison under base-case policy only.
proportional_conventional_redispatch,6,2,0.160274499860333,0.169818290269374,0.00954379040904102,0.001645904548,0.001645904548,0,0,0,not_candidate_currently,Top tail branch comparison under base-case policy only.
proportional_conventional_redispatch,7,3,0.0327628728917155,0.045301190534777,0.0125383176430615,0.001532132434,0.001532132434,0,0,0,not_candidate_currently,Top tail branch comparison under base-case policy only.
proportional_conventional_redispatch,30,4,0.257191279716498,0.242719201879922,-0.014472077836576,0.00174770065,0.00174770065,0,1,0,mixed_diagnostic_only,Top tail branch comparison under base-case policy only.
proportional_conventional_redispatch,31,5,0.144462223117744,0.161649891185293,0.017187668067549,0.001679836582,0.001679836582,0,0,0,not_candidate_currently,Top tail branch comparison under base-case policy only.
proportional_conventional_redispatch,4,6,0.402637519039503,0.378944256534354,-0.023693262505149,0.001543110445,0.001543110445,0,1,0,mixed_diagnostic_only,Top tail branch comparison under base-case policy only.
proportional_conventional_redispatch,40,7,0.223603867074495,0.245763306652629,0.022159439578134,0.00158802049,0.00158802049,0,0,0,not_candidate_currently,Top tail branch comparison under base-case policy only.
proportional_conventional_redispatch,41,8,0.611764114993729,0.614132706286624,0.00236859129289502,0.001555086457,0.001555086457,0,0,0,not_candidate_currently,Top tail branch comparison under base-case policy only.
proportional_conventional_redispatch,43,9,0.158461644952454,0.140025943658452,-0.018435701294002,0.001575046477,0.001575046477,0,1,0,mixed_diagnostic_only,Top tail branch comparison under base-case policy only.
proportional_conventional_redispatch,44,10,0.243566104968529,0.224881894454572,-0.018684210513957,0.001123950025,0.001123950025,0,1,0,mixed_diagnostic_only,Top tail branch comparison under base-case policy only.
designated_generator_redispatch,5,1,0.595829439090701,0.663878612745333,0.068049173654632,0.001575046477,0.001575046477,0,0,0,not_candidate_currently,Top tail branch comparison under base-case policy only.
designated_generator_redispatch,6,2,0.296996223057406,0.597050345058053,0.300054122000647,0.001645904548,0.001645904548,0,0,0,not_candidate_currently,Top tail branch comparison under base-case policy only.
designated_generator_redispatch,7,3,0.526148474180469,0.672046206979279,0.14589773279881,0.001532132434,0.001532132434,0,0,0,not_candidate_currently,Top tail branch comparison under base-case policy only.
designated_generator_redispatch,30,4,0.69150685521842,0.812678745646591,0.121171890428171,0.00174770065,0.00174770065,0,0,0,not_candidate_currently,Top tail branch comparison under base-case policy only.
designated_generator_redispatch,31,5,0.694499072134309,0.649359545544758,-0.0451395265895509,0.001679836582,0.001679836582,0,1,0,mixed_diagnostic_only,Top tail branch comparison under base-case policy only.
designated_generator_redispatch,4,6,0.609635417689644,0.75065401202004,0.141018594330396,0.001543110445,0.001543110445,0,0,0,not_candidate_currently,Top tail branch comparison under base-case policy only.
designated_generator_redispatch,40,7,0.436666569572464,0.40358595003477,-0.033080619537694,0.00158802049,0.00158802049,0,1,0,mixed_diagnostic_only,Top tail branch comparison under base-case policy only.
designated_generator_redispatch,41,8,0.886486481030585,0.945463819132064,0.058977338101479,0.001555086457,0.455077101711294,0.453522015254294,0,0,not_candidate_currently,Top tail branch comparison under base-case policy only.
designated_generator_redispatch,43,9,0.272489593867722,0.237902872396925,-0.034586721470797,0.001575046477,0.001575046477,0,1,0,mixed_diagnostic_only,Top tail branch comparison under base-case policy only.
designated_generator_redispatch,44,10,0.212671410594852,0.185974165320166,-0.026697245274686,0.001123950025,0.001123950025,0,1,0,mixed_diagnostic_only,Top tail branch comparison under base-case policy only.
wind_curtail_to_constant_absorbed_power,5,1,0.439970975359483,0.439970975359483,0,0.001575046477,0.001575046477,0,0,0,not_candidate_currently,Top tail branch comparison under base-case policy only.
wind_curtail_to_constant_absorbed_power,6,2,0.160274499860333,0.160274499860333,0,0.001645904548,0.001645904548,0,0,0,not_candidate_currently,Top tail branch comparison under base-case policy only.
wind_curtail_to_constant_absorbed_power,7,3,0.0327628728917155,0.0327628728917155,0,0.001532132434,0.001532132434,0,0,0,not_candidate_currently,Top tail branch comparison under base-case policy only.
wind_curtail_to_constant_absorbed_power,30,4,0.257191279716498,0.257191279716498,0,0.00174770065,0.00174770065,0,0,0,not_candidate_currently,Top tail branch comparison under base-case policy only.
wind_curtail_to_constant_absorbed_power,31,5,0.144462223117744,0.144462223117744,0,0.001679836582,0.001679836582,0,0,0,not_candidate_currently,Top tail branch comparison under base-case policy only.
wind_curtail_to_constant_absorbed_power,4,6,0.402637519039503,0.402637519039503,0,0.001543110445,0.001543110445,0,0,0,not_candidate_currently,Top tail branch comparison under base-case policy only.
wind_curtail_to_constant_absorbed_power,40,7,0.223603867074495,0.223603867074495,0,0.00158802049,0.00158802049,0,0,0,not_candidate_currently,Top tail branch comparison under base-case policy only.
wind_curtail_to_constant_absorbed_power,41,8,0.611764114993729,0.611764114993729,0,0.001555086457,0.001555086457,0,0,0,not_candidate_currently,Top tail branch comparison under base-case policy only.
wind_curtail_to_constant_absorbed_power,43,9,0.158461644952454,0.158461644952454,0,0.001575046477,0.001575046477,0,0,0,not_candidate_currently,Top tail branch comparison under base-case policy only.
wind_curtail_to_constant_absorbed_power,44,10,0.243566104968529,0.243566104968529,0,0.001123950025,0.001123950025,0,0,0,not_candidate_currently,Top tail branch comparison under base-case policy only.
constant_total_generation_dispatch,5,1,0.285835707089273,0.340939522128038,0.055103815038765,0.001575046477,0.001575046477,0,0,0,not_candidate_currently,Top tail branch comparison under base-case policy only.
constant_total_generation_dispatch,6,2,0.187252874253136,0.198742883723213,0.011490009470077,0.001645904548,0.001645904548,0,0,0,not_candidate_currently,Top tail branch comparison under base-case policy only.
constant_total_generation_dispatch,7,3,0.0342334568263426,0.0760943235934401,0.0418608667670975,0.001532132434,0.001532132434,0,0,0,not_candidate_currently,Top tail branch comparison under base-case policy only.
constant_total_generation_dispatch,30,4,0.251012016970635,0.21160968590808,-0.039402331062555,0.00174770065,0.00174770065,0,1,0,mixed_diagnostic_only,Top tail branch comparison under base-case policy only.
constant_total_generation_dispatch,31,5,0.084608735607037,0.0808560239650165,-0.0037527116420205,0.001679836582,0.001679836582,0,1,0,mixed_diagnostic_only,Top tail branch comparison under base-case policy only.
constant_total_generation_dispatch,4,6,0.420925411553525,0.364426594118717,-0.056498817434808,0.001543110445,0.001543110445,0,1,0,mixed_diagnostic_only,Top tail branch comparison under base-case policy only.
constant_total_generation_dispatch,40,7,0.142587698253228,0.167202975350985,0.024615277097757,0.00158802049,0.00158802049,0,0,0,not_candidate_currently,Top tail branch comparison under base-case policy only.
constant_total_generation_dispatch,41,8,0.566135348667187,0.552040927849873,-0.0140944208173139,0.001555086457,0.001555086457,0,1,0,mixed_diagnostic_only,Top tail branch comparison under base-case policy only.
constant_total_generation_dispatch,43,9,0.226626832047598,0.21652191026228,-0.010104921785318,0.001575046477,0.001575046477,0,1,0,mixed_diagnostic_only,Top tail branch comparison under base-case policy only.
constant_total_generation_dispatch,44,10,0.311615573206631,0.301584172387622,-0.0100314008190091,0.001123950025,0.001123950025,0,1,0,mixed_diagnostic_only,Top tail branch comparison under base-case policy only.
