module,paper_requirement,current_implementation,alignment_status,simplification_or_gap,required_user_input,can_codex_continue_without_input,priority,next_action
节点电压越限严重度 NVOR,按论文指数效用函数对所有节点电压越限求和。,已输出 bus_voltage_details，使用 0.9/1.1 电压边界计算 paper_NVOR。,partially_matched,需确认论文电压阈值和是否包含全部节点。,原文 NVOR 公式截图和电压阈值说明。,yes,P1,核对阈值后调整 cfg.paper_voltage_*。
综合风险 CRI,论文采用 0.6*SLLR+0.2*SLFOR+0.2*SNVOR。,basic、weighted、paper_formula 均使用 0.6/0.2/0.2 权重。,matched,权重已按用户提供公式实现，仍需最终核对原文。,原文 CRI 权重公式截图。,yes,P2,在论文公式确认稿中引用。
VaR 计算方式,论文定义右尾积分置信水平 VaR。,当前使用 Monte Carlo 样本经验右尾分位数。,partially_matched,需确认原文是否使用经验分位数、概率密度拟合或其他估计。,原文 VaR 计算实现描述。,no,P1,必要时增加密度拟合或加权分位数方法。
事故链样本数量,论文应给出样本数量或搜索规模。,当前正式场景使用 46*20=920 条事故链。,unknown_need_paper,样本数是工程设置，未确认论文样本规模。,论文仿真次数、采样规模或收敛准则。,no,P1,按原文样本数重跑关键场景。
置信水平,论文第4章应说明 VaR 置信水平。,当前使用 0.90、0.95、0.98。,partially_matched,需确认与原文完全一致。,原文 VaR 置信水平设置。,yes,P2,若不同则调整 cfg.var_confidence_levels。
切负荷或失负荷模型,论文可能使用最优负荷削减或失负荷计算模型。,当前为孤岛切除 + 简化比例切负荷。,simplified,不是严格最优负荷削减。,原文最优切负荷目标函数、约束和参数。,no,P0,实现 OPF/OLS 模型或按原文替换 simple_load_shedding。
非收敛潮流处理,原文应说明潮流不收敛或解列状态如何处理。,当前严格禁止非收敛 PF/PT/VM 进入 LFOR/NVOR，并输出 invalid_stage 诊断。,simplified,这是工程安全机制，需确认原文处理方式。,原文非收敛、孤岛和解列处理规则。,no,P1,按原文规则调整 invalid stage policy。
新能源分散式接入场景,论文第4章应给出分散接入节点和容量。,当前使用 30:39 分散接入和 3000MW 基准/比例渗透率场景。,partially_matched,分散节点和容量定义仍需确认。,原文分散式接入节点、容量和风速设置。,no,P0,修正 scenario_library。
新能源集中式接入场景,论文第4章应给出集中接入节点和容量。,当前 centralized_wind_40pct 暂用 39 节点，且 paper_formula 为 diagnostic_only。,simplified,集中节点是待校准假设，不能继续猜测。,原文集中式接入节点和容量。,no,P0,用户提供后替换 centralized scenario。
新能源渗透率定义,论文应定义新能源渗透率。,当前使用 风电装机容量/系统总负荷。,simplified,定义待原文确认。,原文渗透率定义和基准容量。,no,P0,确认后重算 penetration_scan 容量。
渗透率扫描场景,论文第4章可能扫描 40% 到 80%。,已实现 40/45/50/55/60/65/70/75/80% 20-trial。,partially_matched,扫描点已实现，但定义和容量需校准。,原文渗透率场景表。,yes,P1,按原文定义重跑扫描。
风速扫描场景,论文第4章可能扫描多个风速/出力波动。,已实现 8/10/12/14/16 m/s 20-trial，并记录实际风电出力。,partially_matched,风速点和功率曲线需原文确认。,原文风速场景和风资源参数。,no,P1,按原文风速点和曲线重跑。
风电功率曲线,论文应给出风速-出力曲线或风机参数。,当前使用工程风电功率曲线。,simplified,切入、额定、切出等参数待校准。,原文风电功率曲线参数。,no,P1,替换 wind_power_curve 参数。
新能源脱网概率模型,论文应给出电压/频率脱网概率或保护模型。,当前仅实现电压脱网概率诊断模型，参数待校准。,simplified,只记录概率，不代表完整保护模型。,原文新能源脱网概率函数和参数。,no,P0,校准 wind_voltage_trip_probability。
新能源实际脱网状态转移,论文若考虑新能源脱网，应实际改变状态并进入事故链。,当前 renewable_trip_record 仅 record_only，不切除风机，不调用随机数。,missing,尚未实现实际风机状态转移。,原文新能源脱网触发、恢复和状态概率耦合规则。,no,P0,实现风机状态转移并验证随机序列隔离。
传统机组停运模型,论文应给出传统机组停运概率或保护动作模型。,当前未实现传统机组停运概率模型。,missing,P_G(q) 无来源。,原文传统机组停运概率模型和参数。,no,P0,新增 conventional generator outage module。
传统机组实际停运状态转移,论文若考虑传统机组停运，应实际改变机组状态。,当前未实现传统机组实际停运状态转移。,missing,事故链状态集合缺少传统机组维度。,原文传统机组状态转移规则。,no,P0,扩展 Markov state 和 normalize 流程。
topology_compare,第4章应包含无新能源/分散/集中等拓扑对比。,已重跑正式 20-trial topology_compare，并区分 diagnostic_only。,partially_matched,集中节点和场景定义仍待论文确认。,原文拓扑对比场景定义。,yes,P1,按原文场景修正后重跑。
penetration_scan,第4章应展示渗透率变化影响。,已生成 40% 到 80% 的 20-trial final_summary。,partially_matched,当前渗透率定义待校准。,原文渗透率定义和场景表。,yes,P1,校准后重跑 final scan。
wind_speed_scan,第4章应展示风速或出力波动影响。,已生成 8/10/12/14/16 m/s 20-trial final_summary。,partially_matched,风速点和功率曲线参数待校准。,原文风速场景表。,yes,P1,按原文风速点重跑。
renewable_trip_record,论文新能源脱网模型应影响状态概率和事故链。,当前只输出 P_WT(h) 记录，不实际触发脱网。,simplified,record_only 不是完整新能源脱网模型。,原文新能源脱网状态转移和概率耦合公式。,no,P0,升级 record_only 为实际状态转移。
final_summary,应汇总可用于论文的当前结果并标注有效性。,已过滤 5-trial smoke 和 legacy 场景，仅保留 20-trial final_summary。,matched,结果是当前参数下复现实验，不是原文数值严格对齐。,原文结果表用于后续数值对照。,yes,P2,作为论文复现实验框架阶段性结果。
原文第4章结果图表对照,应与原文第4章表格和曲线逐项对照。,当前只生成工程图表，尚未与原文数值逐点对齐。,missing,缺少原文图表数据点或清晰截图。,原文第4章主要结果表、图和数值。,no,P0,建立 paper_vs_reproduction_comparison 表。
