paper_table,paper_scenario_id,reproduction_scenario_id,metric_name,metric_family,confidence_level,paper_value,paper_unit,paper_value_dimensionless_candidate,reproduction_value_raw,absolute_error_raw,relative_error_raw,absolute_error_vs_dimensionless_candidate,relative_error_vs_dimensionless_candidate,comparison_status,diagnosis_note
Table 4-5,penetration_70pct,distributed_wind_penetration_70pct,SLFOR,,0.95,8.4065,10^-4,0.00084065,NaN,NaN,NaN,NaN,NaN,not_comparable_unit_uncertain,"penetration definition uses current wind_capacity/base_load assumption; trend comparison only"
Table 4-5,penetration_70pct,distributed_wind_penetration_70pct,SNVOR,,0.95,8.0069,10^-4,0.00080069,NaN,NaN,NaN,NaN,NaN,not_comparable_unit_uncertain,"penetration definition uses current wind_capacity/base_load assumption; trend comparison only"
Table 4-5,penetration_70pct,distributed_wind_penetration_70pct,CRI,basic,0.95,9.2739,10^-4,0.00092739,0.679076659539605,8.59482334046039,0.926775503343835,0.678149269539605,731.244966561646,comparable_with_caution,"raw comparison only; current line-only paper_formula and engineering parameters differ from paper; metric_family=basic"
Table 4-5,penetration_70pct,distributed_wind_penetration_70pct,CRI,weighted,0.95,9.2739,10^-4,0.00092739,0.67836751167592,8.59553248832408,0.926851970403399,0.67744012167592,730.480295966012,comparable_with_caution,"raw comparison only; current line-only paper_formula and engineering parameters differ from paper; metric_family=weighted"
Table 4-5,penetration_70pct,distributed_wind_penetration_70pct,CRI,paper_formula,0.95,9.2739,10^-4,0.00092739,0.00459904620982985,9.26930095379017,0.999504087146742,0.00367165620982985,3.95912853258052,comparable_with_caution,"raw comparison only; current line-only paper_formula and engineering parameters differ from paper; metric_family=paper_formula"
Table 4-5,penetration_75pct,distributed_wind_penetration_75pct,SLLR,,0.95,11.4613,10^-4,0.00114613,NaN,NaN,NaN,NaN,NaN,not_comparable_unit_uncertain,"penetration definition uses current wind_capacity/base_load assumption; trend comparison only"
Table 4-5,penetration_75pct,distributed_wind_penetration_75pct,SLFOR,,0.95,10.6552,10^-4,0.00106552,NaN,NaN,NaN,NaN,NaN,not_comparable_unit_uncertain,"penetration definition uses current wind_capacity/base_load assumption; trend comparison only"
Table 4-5,penetration_75pct,distributed_wind_penetration_75pct,SNVOR,,0.95,9.3324,10^-4,0.00093324,NaN,NaN,NaN,NaN,NaN,not_comparable_unit_uncertain,"penetration definition uses current wind_capacity/base_load assumption; trend comparison only"
Table 4-5,penetration_75pct,distributed_wind_penetration_75pct,CRI,basic,0.95,10.8743,10^-4,0.00108743,0.695470536247073,10.1788294637529,0.936044569650729,0.694383106247073,638.554303492706,comparable_with_caution,"raw comparison only; current line-only paper_formula and engineering parameters differ from paper; metric_family=basic"
Table 4-5,penetration_75pct,distributed_wind_penetration_75pct,CRI,weighted,0.95,10.8743,10^-4,0.00108743,0.692503310878108,10.1817966891219,0.9363174355243,0.691415880878108,635.825644757003,comparable_with_caution,"raw comparison only; current line-only paper_formula and engineering parameters differ from paper; metric_family=weighted"
Table 4-5,penetration_75pct,distributed_wind_penetration_75pct,CRI,paper_formula,0.95,10.8743,10^-4,0.00108743,0.00487565610302019,10.869424343897,0.999551634946339,0.00378822610302019,3.48365053660483,comparable_with_caution,"raw comparison only; current line-only paper_formula and engineering parameters differ from paper; metric_family=paper_formula"
Table 4-5,penetration_80pct,distributed_wind_penetration_80pct,SLLR,,0.95,14.0526,10^-4,0.00140526,NaN,NaN,NaN,NaN,NaN,not_comparable_unit_uncertain,"penetration definition uses current wind_capacity/base_load assumption; trend comparison only"
Table 4-5,penetration_80pct,distributed_wind_penetration_80pct,SLFOR,,0.95,12.5517,10^-4,0.00125517,NaN,NaN,NaN,NaN,NaN,not_comparable_unit_uncertain,"penetration definition uses current wind_capacity/base_load assumption; trend comparison only"
Table 4-5,penetration_80pct,distributed_wind_penetration_80pct,SNVOR,,0.95,11.8034,10^-4,0.00118034,NaN,NaN,NaN,NaN,NaN,not_comparable_unit_uncertain,"penetration definition uses current wind_capacity/base_load assumption; trend comparison only"
Table 4-5,penetration_80pct,distributed_wind_penetration_80pct,CRI,basic,0.95,13.3026,10^-4,0.00133026,0.687486882992135,12.6151131170079,0.94831935990016,0.686156622992135,515.806400998403,comparable_with_caution,"raw comparison only; current line-only paper_formula and engineering parameters differ from paper; metric_family=basic"
Table 4-5,penetration_80pct,distributed_wind_penetration_80pct,CRI,weighted,0.95,13.3026,10^-4,0.00133026,0.686246070659188,12.6163539293408,0.94841263582614,0.684915810659188,514.873641738598,comparable_with_caution,"raw comparison only; current line-only paper_formula and engineering parameters differ from paper; metric_family=weighted"
Table 4-5,penetration_80pct,distributed_wind_penetration_80pct,CRI,paper_formula,0.95,13.3026,10^-4,0.00133026,0.0052719243208235,13.2973280756792,0.999603692186428,0.0039416643208235,2.96307813572046,comparable_with_caution,"raw comparison only; current line-only paper_formula and engineering parameters differ from paper; metric_family=paper_formula"
Table 4-6,wind_speed_11_28mps,paper_wind_speed_11_28mps,SLLR,,0.95,7.5361,10^-4,0.00075361,NaN,NaN,NaN,NaN,NaN,not_comparable_missing_reproduction,"paper wind speed batch exists, but current result is line-only paper_formula without P_wt/P_ge"
Table 4-6,wind_speed_11_28mps,paper_wind_speed_11_28mps,SLFOR,,0.95,6.0213,10^-4,0.00060213,NaN,NaN,NaN,NaN,NaN,not_comparable_missing_reproduction,"paper wind speed batch exists, but current result is line-only paper_formula without P_wt/P_ge"
Table 4-6,wind_speed_11_28mps,paper_wind_speed_11_28mps,SNVOR,,0.95,6.5482,10^-4,0.00065482,NaN,NaN,NaN,NaN,NaN,not_comparable_missing_reproduction,"paper wind speed batch exists, but current result is line-only paper_formula without P_wt/P_ge"
Table 4-6,wind_speed_11_28mps,paper_wind_speed_11_28mps,CRI,basic,0.95,7.0356,10^-4,0.00070356,0.56247895407337,6.47312104592663,0.920052454080196,0.56177539407337,798.475459198036,comparable_with_caution,"raw comparison only; current line-only paper_formula and engineering parameters differ from paper; metric_family=basic"
Table 4-6,wind_speed_11_28mps,paper_wind_speed_11_28mps,CRI,weighted,0.95,7.0356,10^-4,0.00070356,0.532384565277598,6.5032154347224,0.924329898618796,0.531681005277598,755.701013812039,comparable_with_caution,"raw comparison only; current line-only paper_formula and engineering parameters differ from paper; metric_family=weighted"
Table 4-6,wind_speed_11_28mps,paper_wind_speed_11_28mps,CRI,paper_formula,0.95,7.0356,10^-4,0.00070356,0.00185767060737346,7.03374232939263,0.999735961309999,0.00115411060737346,1.64038690001345,comparable_with_caution,"raw comparison only; current line-only paper_formula and engineering parameters differ from paper; metric_family=paper_formula"
Table 4-6,wind_speed_11_52mps,paper_wind_speed_11_52mps,SLLR,,0.95,7.1037,10^-4,0.00071037,NaN,NaN,NaN,NaN,NaN,not_comparable_missing_reproduction,"paper wind speed batch exists, but current result is line-only paper_formula without P_wt/P_ge"
Table 4-6,wind_speed_11_52mps,paper_wind_speed_11_52mps,SLFOR,,0.95,5.4123,10^-4,0.00054123,NaN,NaN,NaN,NaN,NaN,not_comparable_missing_reproduction,"paper wind speed batch exists, but current result is line-only paper_formula without P_wt/P_ge"
Table 4-6,wind_speed_11_52mps,paper_wind_speed_11_52mps,SNVOR,,0.95,5.2681,10^-4,0.00052681,NaN,NaN,NaN,NaN,NaN,not_comparable_missing_reproduction,"paper wind speed batch exists, but current result is line-only paper_formula without P_wt/P_ge"
Table 4-6,wind_speed_11_52mps,paper_wind_speed_11_52mps,CRI,basic,0.95,6.3983,10^-4,0.00063983,0.562382596016668,5.83591740398333,0.912104372096234,0.561742766016668,877.956279037663,comparable_with_caution,"raw comparison only; current line-only paper_formula and engineering parameters differ from paper; metric_family=basic"
Table 4-6,wind_speed_11_52mps,paper_wind_speed_11_52mps,CRI,weighted,0.95,6.3983,10^-4,0.00063983,0.558808093126181,5.83949190687382,0.912663036568123,0.558168263126181,872.369634318774,comparable_with_caution,"raw comparison only; current line-only paper_formula and engineering parameters differ from paper; metric_family=weighted"
