initial_branch,trial_id,stage_id,candidate_branch,from_bus,to_bus,line_loading_pu,engineering_or_main_probability,diagnostic_line_probability,probability_source,trip_selected,stage_transition_probability,stage_cumulative_P_line_Ek
1,1,1,22,12,13,0.094856682643936,0.0001,0.000414,paper_formula_probability,0,0.55879681012801,0.000244753002836069
1,1,1,23,13,14,0.444670939232582,0.0001,0.000434,paper_formula_probability,0,0.55879681012801,0.000244753002836069
1,1,1,24,14,15,0.062387825189925,0.0001,0.000377,paper_formula_probability,0,0.55879681012801,0.000244753002836069
1,1,1,25,15,16,0.543255785126875,0.0001,0.000468,paper_formula_probability,0,0.55879681012801,0.000244753002836069
1,1,1,26,16,17,0.245031769577868,0.0001,0.000306,paper_formula_probability,0,0.55879681012801,0.000244753002836069
1,1,1,27,16,19,0.794636237069276,0.0001,1.1e-05,paper_formula_probability,0,0.55879681012801,0.000244753002836069
1,1,1,28,16,21,0.52656528710417,0.0001,0.000473,paper_formula_probability,0,0.55879681012801,0.000244753002836069
1,1,1,29,16,24,0.0986688794782505,0.0001,0.0006,paper_formula_probability,0,0.55879681012801,0.000244753002836069
1,1,1,30,17,18,0.201516671852419,0.0001,0.00065,paper_formula_probability,0,0.55879681012801,0.000244753002836069
1,1,1,31,17,27,0.0778465694844079,0.0001,0.000582,paper_formula_probability,0,0.55879681012801,0.000244753002836069
1,1,1,32,19,20,0.160159718595333,0.0001,0.000515,paper_formula_probability,0,0.55879681012801,0.000244753002836069
1,1,1,33,19,33,0.703342439809034,0.0001,2.5e-05,paper_formula_probability,0,0.55879681012801,0.000244753002836069
1,1,1,34,20,34,0.626887933877084,0.0001,2.5e-05,paper_formula_probability,0,0.55879681012801,0.000244753002836069
1,1,1,35,21,22,0.647940868524712,0.0001,0.000514,paper_formula_probability,0,0.55879681012801,0.000244753002836069
1,1,1,36,22,23,0.144127335056424,0.0001,0.000582,paper_formula_probability,0,0.55879681012801,0.000244753002836069
1,1,1,37,22,35,0.700264119215055,0.0001,0.000502,paper_formula_probability,0,0.55879681012801,0.000244753002836069
1,1,1,38,23,24,0.570202106468439,0.0001,0.000377,paper_formula_probability,0,0.55879681012801,0.000244753002836069
1,1,1,39,23,36,0.628288134439689,0.0001,0.000445,paper_formula_probability,0,0.55879681012801,0.000244753002836069
1,1,1,40,25,26,0.335397523006565,0.0001,0.00049,paper_formula_probability,0,0.55879681012801,0.000244753002836069
1,1,1,41,25,37,0.618433852927876,0.0001,0.000457,paper_formula_probability,0,0.55879681012801,0.000244753002836069
1,1,1,42,26,27,0.437620486435816,0.0001,0.000603,paper_formula_probability,0,0.55879681012801,0.000244753002836069
1,1,1,43,26,28,0.13919853258174,0.0001,0.000477,paper_formula_probability,0,0.55879681012801,0.000244753002836069
1,1,1,44,26,29,0.224546523838002,0.0001,2.5e-05,paper_formula_probability,0,0.55879681012801,0.000244753002836069
1,1,1,45,28,29,0.469176013124275,0.0001,0.000452,paper_formula_probability,0,0.55879681012801,0.000244753002836069
1,1,1,46,29,38,0.575752181726442,0.0001,0.000414,paper_formula_probability,0,0.55879681012801,0.000244753002836069
1,1,2,2,1,39,0.107141961901022,0.0001,0.000582,paper_formula_probability,0,0.982973286632137,0.000240585663610855
1,1,2,4,2,25,0.847463010389383,0.023807773689497,0.000445,paper_formula_probability,0,0.982973286632137,0.000240585663610855
1,1,2,5,2,30,0.47277547928008,0.0001,0.000477,paper_formula_probability,0,0.982973286632137,0.000240585663610855
1,1,2,6,3,4,0.0748883868105219,0.0001,0.000548,paper_formula_probability,0,0.982973286632137,0.000240585663610855
1,1,2,7,3,18,0.717359336369776,0.0001,0.000434,paper_formula_probability,0,0.982973286632137,0.000240585663610855
1,1,2,8,4,5,0.257060312757285,0.0001,3.4e-05,paper_formula_probability,0,0.982973286632137,0.000240585663610855
1,1,2,9,4,14,0.694647387457525,0.0001,0.000616,paper_formula_probability,0,0.982973286632137,0.000240585663610855
1,1,2,10,5,6,0.585762345590276,0.0001,0.000582,paper_formula_probability,0,0.982973286632137,0.000240585663610855
1,1,2,11,5,8,0.619126205590404,0.0001,0.000565,paper_formula_probability,0,0.982973286632137,0.000240585663610855
1,1,2,12,6,7,0.742985120539388,0.0001,0.000263,paper_formula_probability,0,0.982973286632137,0.000240585663610855
1,1,2,13,6,11,0.768837696421805,0.0001,0.000502,paper_formula_probability,0,0.982973286632137,0.000240585663610855
1,1,2,14,6,31,0.612859540574801,0.0001,0.000377,paper_formula_probability,0,0.982973286632137,0.000240585663610855
1,1,2,15,7,8,0.465023436883454,0.0001,2.3e-05,paper_formula_probability,0,0.982973286632137,0.000240585663610855
1,1,2,16,8,9,0.514863713198132,0.0001,2.3e-05,paper_formula_probability,0,0.982973286632137,0.000240585663610855
1,1,2,17,9,39,0.489063219675468,0.0001,0.000685,paper_formula_probability,0,0.982973286632137,0.000240585663610855
1,1,2,18,10,11,0.639535063671589,0.0001,0.000223,paper_formula_probability,0,0.982973286632137,0.000240585663610855
1,1,2,19,10,13,0.487352076785273,0.0001,0.000685,paper_formula_probability,0,0.982973286632137,0.000240585663610855
1,1,2,20,10,32,0.806009531048383,0.0031017607586673,0.000553,paper_formula_probability,0,0.982973286632137,0.000240585663610855
1,1,2,21,12,11,0.0891114125885715,0.0001,0.000427,paper_formula_probability,0,0.982973286632137,0.000240585663610855
1,1,2,22,12,13,0.0924389523914176,0.0001,0.000414,paper_formula_probability,0,0.982973286632137,0.000240585663610855
1,1,2,23,13,14,0.444691150596043,0.0001,0.000434,paper_formula_probability,0,0.982973286632137,0.000240585663610855
1,1,2,24,14,15,0.175275453006936,0.0001,0.000377,paper_formula_probability,0,0.982973286632137,0.000240585663610855
1,1,2,25,15,16,0.711979035827805,0.0001,0.000468,paper_formula_probability,0,0.982973286632137,0.000240585663610855
1,1,2,26,16,17,0.234611403951002,0.0001,0.000306,paper_formula_probability,0,0.982973286632137,0.000240585663610855
1,1,2,27,16,19,0.839284053880009,0.0197223849130644,1.1e-05,paper_formula_probability,0,0.982973286632137,0.000240585663610855
1,1,2,28,16,21,0.510843164519578,0.0001,0.000473,paper_formula_probability,0,0.982973286632137,0.000240585663610855
1,1,2,29,16,24,0.144275489419506,0.0001,0.0006,paper_formula_probability,0,0.982973286632137,0.000240585663610855
1,1,2,30,17,18,0.866461541104499,0.033297539781697,0.00065,paper_formula_probability,0,0.982973286632137,0.000240585663610855
1,1,2,31,17,27,0.824823842593568,0.0124995093754872,0.000582,paper_formula_probability,0,0.982973286632137,0.000240585663610855
1,1,2,32,19,20,0.163134038491715,0.0001,0.000515,paper_formula_probability,0,0.982973286632137,0.000240585663610855
1,1,2,33,19,33,0.724103877975171,0.0001,2.5e-05,paper_formula_probability,0,0.982973286632137,0.000240585663610855
1,1,2,34,20,34,0.635051555814553,0.0001,2.5e-05,paper_formula_probability,0,0.982973286632137,0.000240585663610855
1,1,2,35,21,22,0.65498241539893,0.0001,0.000514,paper_formula_probability,0,0.982973286632137,0.000240585663610855
1,1,2,36,22,23,0.147587079950151,0.0001,0.000582,paper_formula_probability,0,0.982973286632137,0.000240585663610855
1,1,2,37,22,35,0.719349513376569,0.0001,0.000502,paper_formula_probability,0,0.982973286632137,0.000240585663610855
1,1,2,38,23,24,0.566123685769561,0.0001,0.000377,paper_formula_probability,0,0.982973286632137,0.000240585663610855
1,1,2,39,23,36,0.632018302532004,0.0001,0.000445,paper_formula_probability,0,0.982973286632137,0.000240585663610855
1,1,2,40,25,26,1.23534810840191,1,1,paper_formula_probability,1,0.982973286632137,0.000240585663610855
1,1,2,41,25,37,0.642322744915327,0.0001,0.000457,paper_formula_probability,0,0.982973286632137,0.000240585663610855
1,1,2,42,26,27,1.3001732065106,1,1,paper_formula_probability,1,0.982973286632137,0.000240585663610855
1,1,2,43,26,28,0.180348909011046,0.0001,0.000477,paper_formula_probability,0,0.982973286632137,0.000240585663610855
1,1,2,44,26,29,0.246579303648016,0.0001,2.5e-05,paper_formula_probability,0,0.982973286632137,0.000240585663610855
1,1,2,45,28,29,0.469575882637033,0.0001,0.000452,paper_formula_probability,0,0.982973286632137,0.000240585663610855
1,1,2,46,29,38,0.58408922645918,0.0001,0.000414,paper_formula_probability,0,0.982973286632137,0.000240585663610855
1,1,3,2,1,39,0.107141961901023,0.0001,0.000582,paper_formula_probability,0,0.663903612273935,0.000159725691132568
1,1,3,6,3,4,0.69441663914126,0.0001,0.000548,paper_formula_probability,0,0.663903612273935,0.000159725691132568
1,1,3,7,3,18,0.164770654811298,0.0001,0.000434,paper_formula_probability,0,0.663903612273935,0.000159725691132568
1,1,3,8,4,5,0.977911581715561,0.0889668350669229,3.4e-05,paper_formula_probability,0,0.663903612273935,0.000159725691132568
1,1,3,9,4,14,0.582606212436375,0.0001,0.000616,paper_formula_probability,0,0.663903612273935,0.000159725691132568
1,1,3,10,5,6,0.920965604496061,0.0605223194457825,0.000582,paper_formula_probability,0,0.663903612273935,0.000159725691132568
1,1,3,11,5,8,0.570302806332103,0.0001,0.000565,paper_formula_probability,0,0.663903612273935,0.000159725691132568
1,1,3,12,6,7,0.786202443601648,0.0001,0.000263,paper_formula_probability,0,0.663903612273935,0.000159725691132568
1,1,3,13,6,11,0.510192053538052,0.0001,0.000502,paper_formula_probability,0,0.663903612273935,0.000159725691132568
1,1,3,14,6,31,1.13463463350224,0.705855850760075,0.673296381227042,paper_formula_probability,1,0.663903612273935,0.000159725691132568
1,1,3,15,7,8,0.512112901491094,0.0001,2.3e-05,paper_formula_probability,0,0.663903612273935,0.000159725691132568
1,1,3,16,8,9,0.547452894280255,0.0001,2.3e-05,paper_formula_probability,0,0.663903612273935,0.000159725691132568
1,1,3,17,9,39,0.511332670265808,0.0001,0.000685,paper_formula_probability,0,0.663903612273935,0.000159725691132568
1,1,3,18,10,11,0.471953778283994,0.0001,0.000223,paper_formula_probability,0,0.663903612273935,0.000159725691132568
1,1,3,19,10,13,0.942459665730525,0.0712586030323973,0.000685,paper_formula_probability,0,0.663903612273935,0.000159725691132568
1,1,3,20,10,32,0.921100991823972,0.060589945416074,0.000553,paper_formula_probability,0,0.663903612273935,0.000159725691132568
1,1,3,21,12,11,0.0979106811669329,0.0001,0.000427,paper_formula_probability,0,0.663903612273935,0.000159725691132568
1,1,3,22,12,13,0.107242971602088,0.0001,0.000414,paper_formula_probability,0,0.663903612273935,0.000159725691132568
1,1,3,23,13,14,0.949514385474445,0.0747824355444854,0.000434,paper_formula_probability,0,0.663903612273935,0.000159725691132568
1,1,3,24,14,15,0.510873951274729,0.0001,0.000377,paper_formula_probability,0,0.663903612273935,0.000159725691132568
1,1,3,25,15,16,0.342890746464764,0.0001,0.000468,paper_formula_probability,0,0.663903612273935,0.000159725691132568
1,1,3,26,16,17,0.755816201141639,0.0001,0.000306,paper_formula_probability,0,0.663903612273935,0.000159725691132568
1,1,3,27,16,19,0.889520934689689,0.0448157068774995,1.1e-05,paper_formula_probability,0,0.663903612273935,0.000159725691132568
1,1,3,28,16,21,0.506435647756874,0.0001,0.000473,paper_formula_probability,0,0.663903612273935,0.000159725691132568
1,1,3,29,16,24,0.185198996468113,0.0001,0.0006,paper_formula_probability,0,0.663903612273935,0.000159725691132568
1,1,3,30,17,18,0.282749768306054,0.0001,0.00065,paper_formula_probability,0,0.663903612273935,0.000159725691132568
1,1,3,31,17,27,0.484943438855389,0.0001,0.000582,paper_formula_probability,0,0.663903612273935,0.000159725691132568
1,1,3,32,19,20,0.168763233389519,0.0001,0.000515,paper_formula_probability,0,0.663903612273935,0.000159725691132568
1,1,3,33,19,33,0.745972058132586,0.0001,2.5e-05,paper_formula_probability,0,0.663903612273935,0.000159725691132568
1,1,3,34,20,34,0.643197876970467,0.0001,2.5e-05,paper_formula_probability,0,0.663903612273935,0.000159725691132568
1,1,3,35,21,22,0.664898639361785,0.0001,0.000514,paper_formula_probability,0,0.663903612273935,0.000159725691132568
1,1,3,36,22,23,0.150640196588223,0.0001,0.000582,paper_formula_probability,0,0.663903612273935,0.000159725691132568
1,1,3,37,22,35,0.740382382446059,0.0001,0.000502,paper_formula_probability,0,0.663903612273935,0.000159725691132568
1,1,3,38,23,24,0.566642398767763,0.0001,0.000377,paper_formula_probability,0,0.663903612273935,0.000159725691132568
1,1,3,39,23,36,0.636920653170979,0.0001,0.000445,paper_formula_probability,0,0.663903612273935,0.000159725691132568
1,1,4,2,1,39,0.096427765710919,0.0001,0.000582,paper_formula_probability,0,5.07505009897004e-06,8.106158845904e-10
1,1,4,6,3,4,0.466013926121097,0.0001,0.000548,paper_formula_probability,0,5.07505009897004e-06,8.106158845904e-10
1,1,4,7,3,18,0.220923410641955,0.0001,0.000434,paper_formula_probability,0,5.07505009897004e-06,8.106158845904e-10
1,1,4,8,4,5,0.695491696726478,0.0001,3.4e-05,paper_formula_probability,0,5.07505009897004e-06,8.106158845904e-10
1,1,4,9,4,14,0.591477963477143,0.0001,0.000616,paper_formula_probability,0,5.07505009897004e-06,8.106158845904e-10
1,1,4,10,5,6,0.218658269707279,0.0001,0.000582,paper_formula_probability,0,5.07505009897004e-06,8.106158845904e-10
1,1,4,11,5,8,0.271031208091373,0.0001,0.000565,paper_formula_probability,0,5.07505009897004e-06,8.106158845904e-10
1,1,4,12,6,7,0.206519188291252,0.0001,0.000263,paper_formula_probability,0,5.07505009897004e-06,8.106158845904e-10
1,1,4,13,6,11,0.745455794286788,0.0001,0.000502,paper_formula_probability,0,5.07505009897004e-06,8.106158845904e-10
1,1,4,15,7,8,0.293435161127594,0.0001,2.3e-05,paper_formula_probability,0,5.07505009897004e-06,8.106158845904e-10
1,1,4,16,8,9,1.04205484827803,0.28924681725115,0.210292405082615,paper_formula_probability,0,5.07505009897004e-06,8.106158845904e-10
1,1,4,17,9,39,1.08150560389198,0.466775217513904,0.407933862766563,paper_formula_probability,0,5.07505009897004e-06,8.106158845904e-10
1,1,4,18,10,11,0.65223345528496,0.0001,0.000223,paper_formula_probability,0,5.07505009897004e-06,8.106158845904e-10
1,1,4,19,10,13,0.675516603890489,0.0001,0.000685,paper_formula_probability,0,5.07505009897004e-06,8.106158845904e-10
1,1,4,20,10,32,0.943462333762818,0.0717594357145277,0.000553,paper_formula_probability,0,5.07505009897004e-06,8.106158845904e-10
1,1,4,21,12,11,0.0667741220388428,0.0001,0.000427,paper_formula_probability,0,5.07505009897004e-06,8.106158845904e-10
1,1,4,22,12,13,0.100063258531062,0.0001,0.000414,paper_formula_probability,0,5.07505009897004e-06,8.106158845904e-10
1,1,4,23,13,14,0.65955285867182,0.0001,0.000434,paper_formula_probability,0,5.07505009897004e-06,8.106158845904e-10
1,1,4,24,14,15,0.251071024475633,0.0001,0.000377,paper_formula_probability,0,5.07505009897004e-06,8.106158845904e-10
1,1,4,25,15,16,0.405207468809299,0.0001,0.000468,paper_formula_probability,0,5.07505009897004e-06,8.106158845904e-10
1,1,4,26,16,17,0.825938286070722,0.0130561738923257,0.000306,paper_formula_probability,0,5.07505009897004e-06,8.106158845904e-10
1,1,4,27,16,19,0.984423171379079,0.0922193741038498,1.1e-05,paper_formula_probability,1,5.07505009897004e-06,8.106158845904e-10
1,1,4,28,16,21,0.569873672804272,0.0001,0.000473,paper_formula_probability,0,5.07505009897004e-06,8.106158845904e-10
1,1,4,29,16,24,0.201218271359297,0.0001,0.0006,paper_formula_probability,0,5.07505009897004e-06,8.106158845904e-10
1,1,4,30,17,18,0.391649962252056,0.0001,0.00065,paper_formula_probability,0,5.07505009897004e-06,8.106158845904e-10
1,1,4,31,17,27,0.436449094968642,0.0001,0.000582,paper_formula_probability,0,5.07505009897004e-06,8.106158845904e-10
1,1,4,32,19,20,0.100539501417712,0.0001,0.000515,paper_formula_probability,0,5.07505009897004e-06,8.106158845904e-10
1,1,4,33,19,33,0.742314448571911,0.0001,2.5e-05,paper_formula_probability,0,5.07505009897004e-06,8.106158845904e-10
1,1,4,34,20,34,0.639205505926749,0.0001,2.5e-05,paper_formula_probability,0,5.07505009897004e-06,8.106158845904e-10
1,1,4,35,21,22,0.674622344650292,0.0001,0.000514,paper_formula_probability,0,5.07505009897004e-06,8.106158845904e-10
1,1,4,36,22,23,0.144335367397905,0.0001,0.000582,paper_formula_probability,0,5.07505009897004e-06,8.106158845904e-10
1,1,4,37,22,35,0.736087782341318,0.0001,0.000502,paper_formula_probability,0,5.07505009897004e-06,8.106158845904e-10
1,1,4,38,23,24,0.590151799145392,0.0001,0.000377,paper_formula_probability,0,5.07505009897004e-06,8.106158845904e-10
1,1,4,39,23,36,0.635746504869478,0.0001,0.000445,paper_formula_probability,0,5.07505009897004e-06,8.106158845904e-10
1,1,5,2,1,39,0.0846540025771354,0.0001,0.000582,paper_formula_probability,0,0.360539068030904,2.9225869556127e-10
1,1,5,6,3,4,0.58616774786451,0.0001,0.000548,paper_formula_probability,0,0.360539068030904,2.9225869556127e-10
1,1,5,7,3,18,0.146138385197053,0.0001,0.000434,paper_formula_probability,0,0.360539068030904,2.9225869556127e-10
1,1,5,8,4,5,0.811534703814749,0.00586158455546711,3.4e-05,paper_formula_probability,0,0.360539068030904,2.9225869556127e-10
1,1,5,9,4,14,0.46991261864995,0.0001,0.000616,paper_formula_probability,0,0.360539068030904,2.9225869556127e-10
1,1,5,10,5,6,0.227573773416034,0.0001,0.000582,paper_formula_probability,0,0.360539068030904,2.9225869556127e-10
1,1,5,11,5,8,0.333155133635147,0.0001,0.000565,paper_formula_probability,0,0.360539068030904,2.9225869556127e-10
1,1,5,12,6,7,0.23153882363416,0.0001,0.000263,paper_formula_probability,0,0.360539068030904,2.9225869556127e-10
1,1,5,13,6,11,0.719236406781921,0.0001,0.000502,paper_formula_probability,0,0.360539068030904,2.9225869556127e-10
1,1,5,15,7,8,0.337684322919765,0.0001,2.3e-05,paper_formula_probability,0,0.360539068030904,2.9225869556127e-10
1,1,5,16,8,9,1.10341283896538,0.565357775344209,0.517075302350417,paper_formula_probability,0,0.360539068030904,2.9225869556127e-10
1,1,5,17,9,39,1.16533887689793,0.844024946040673,0.826813098836262,paper_formula_probability,1,0.360539068030904,2.9225869556127e-10
1,1,5,18,10,11,0.629787373572558,0.0001,0.000223,paper_formula_probability,0,0.360539068030904,2.9225869556127e-10
1,1,5,19,10,13,0.805881251631192,0.00303768518978053,0.000685,paper_formula_probability,0,0.360539068030904,2.9225869556127e-10
1,1,5,20,10,32,1.01708933989314,0.176902029519135,0.085952447440901,paper_formula_probability,0,0.360539068030904,2.9225869556127e-10
1,1,5,21,12,11,0.0639991840262766,0.0001,0.000427,paper_formula_probability,0,0.360539068030904,2.9225869556127e-10
1,1,5,22,12,13,0.0874716811157909,0.0001,0.000414,paper_formula_probability,0,0.360539068030904,2.9225869556127e-10
1,1,5,23,13,14,0.797256625941286,0.0001,0.000434,paper_formula_probability,0,0.360539068030904,2.9225869556127e-10
1,1,5,24,14,15,0.45481299335647,0.0001,0.000377,paper_formula_probability,0,0.360539068030904,2.9225869556127e-10
1,1,5,25,15,16,0.227015244039306,0.0001,0.000468,paper_formula_probability,0,0.360539068030904,2.9225869556127e-10
1,1,5,26,16,17,0.522109680477803,0.0001,0.000306,paper_formula_probability,0,0.360539068030904,2.9225869556127e-10
1,1,5,28,16,21,0.679020766359976,0.0001,0.000473,paper_formula_probability,0,0.360539068030904,2.9225869556127e-10
1,1,5,29,16,24,0.323181864382419,0.0001,0.0006,paper_formula_probability,0,0.360539068030904,2.9225869556127e-10
1,1,5,30,17,18,0.174904253902646,0.0001,0.00065,paper_formula_probability,0,0.360539068030904,2.9225869556127e-10
1,1,5,31,17,27,0.370981730724371,0.0001,0.000582,paper_formula_probability,0,0.360539068030904,2.9225869556127e-10
1,1,5,35,21,22,0.722676717033564,0.0001,0.000514,paper_formula_probability,0,0.360539068030904,2.9225869556127e-10
1,1,5,36,22,23,0.147184609235865,0.0001,0.000582,paper_formula_probability,0,0.360539068030904,2.9225869556127e-10
1,1,5,37,22,35,0.795376777921917,0.0001,0.000502,paper_formula_probability,0,0.360539068030904,2.9225869556127e-10
1,1,5,38,23,24,0.639298004522784,0.0001,0.000377,paper_formula_probability,0,0.360539068030904,2.9225869556127e-10
1,1,5,39,23,36,0.651453244203202,0.0001,0.000445,paper_formula_probability,0,0.360539068030904,2.9225869556127e-10
1,2,1,2,1,39,0.107141961901022,0.0001,0.000582,paper_formula_probability,0,0.55879681012801,0.000244753002836069
1,2,1,3,2,3,1.11378700057911,0.612041502606017,0.56909794546448,paper_formula_probability,1,0.55879681012801,0.000244753002836069
1,2,1,4,2,25,0.267838831496499,0.0001,0.000445,paper_formula_probability,0,0.55879681012801,0.000244753002836069
1,2,1,5,2,30,0.482914678460808,0.0001,0.000477,paper_formula_probability,0,0.55879681012801,0.000244753002836069
1,2,1,6,3,4,0.39674700688889,0.0001,0.000548,paper_formula_probability,0,0.55879681012801,0.000244753002836069
1,2,1,7,3,18,0.104218014580565,0.0001,0.000434,paper_formula_probability,0,0.55879681012801,0.000244753002836069
1,2,1,8,4,5,0.137527894345013,0.0001,3.4e-05,paper_formula_probability,0,0.55879681012801,0.000244753002836069
1,2,1,9,4,14,0.50463775915523,0.0001,0.000616,paper_formula_probability,0,0.55879681012801,0.000244753002836069
1,2,1,10,5,6,0.537152108248599,0.0001,0.000582,paper_formula_probability,0,0.55879681012801,0.000244753002836069
1,2,1,11,5,8,0.627234853611359,0.0001,0.000565,paper_formula_probability,0,0.55879681012801,0.000244753002836069
1,2,1,12,6,7,0.737152881895511,0.0001,0.000263,paper_formula_probability,0,0.55879681012801,0.000244753002836069
1,2,1,13,6,11,0.734174240617,0.0001,0.000502,paper_formula_probability,0,0.55879681012801,0.000244753002836069
1,2,1,14,6,31,0.575823630467119,0.0001,0.000377,paper_formula_probability,0,0.55879681012801,0.000244753002836069
1,2,1,15,7,8,0.458968339840337,0.0001,2.3e-05,paper_formula_probability,0,0.55879681012801,0.000244753002836069
1,2,1,16,8,9,0.507278949136806,0.0001,2.3e-05,paper_formula_probability,0,0.55879681012801,0.000244753002836069
1,2,1,17,9,39,0.484962406130411,0.0001,0.000685,paper_formula_probability,0,0.55879681012801,0.000244753002836069
1,2,1,18,10,11,0.611890035610778,0.0001,0.000223,paper_formula_probability,0,0.55879681012801,0.000244753002836069
1,2,1,19,10,13,0.47774524987524,0.0001,0.000685,paper_formula_probability,0,0.55879681012801,0.000244753002836069
1,2,1,20,10,32,0.771087909656627,0.0001,0.000553,paper_formula_probability,0,0.55879681012801,0.000244753002836069
1,2,1,21,12,11,0.0860202090901181,0.0001,0.000427,paper_formula_probability,0,0.55879681012801,0.000244753002836069
1,2,1,22,12,13,0.094856682643936,0.0001,0.000414,paper_formula_probability,0,0.55879681012801,0.000244753002836069
1,2,1,23,13,14,0.444670939232582,0.0001,0.000434,paper_formula_probability,0,0.55879681012801,0.000244753002836069
1,2,1,24,14,15,0.062387825189925,0.0001,0.000377,paper_formula_probability,0,0.55879681012801,0.000244753002836069
1,2,1,25,15,16,0.543255785126875,0.0001,0.000468,paper_formula_probability,0,0.55879681012801,0.000244753002836069
1,2,1,26,16,17,0.245031769577868,0.0001,0.000306,paper_formula_probability,0,0.55879681012801,0.000244753002836069
1,2,1,27,16,19,0.794636237069276,0.0001,1.1e-05,paper_formula_probability,0,0.55879681012801,0.000244753002836069
1,2,1,28,16,21,0.52656528710417,0.0001,0.000473,paper_formula_probability,0,0.55879681012801,0.000244753002836069
1,2,1,29,16,24,0.0986688794782505,0.0001,0.0006,paper_formula_probability,0,0.55879681012801,0.000244753002836069
1,2,1,30,17,18,0.201516671852419,0.0001,0.00065,paper_formula_probability,0,0.55879681012801,0.000244753002836069
1,2,1,31,17,27,0.0778465694844079,0.0001,0.000582,paper_formula_probability,0,0.55879681012801,0.000244753002836069
1,2,1,32,19,20,0.160159718595333,0.0001,0.000515,paper_formula_probability,0,0.55879681012801,0.000244753002836069
1,2,1,33,19,33,0.703342439809034,0.0001,2.5e-05,paper_formula_probability,0,0.55879681012801,0.000244753002836069
1,2,1,34,20,34,0.626887933877084,0.0001,2.5e-05,paper_formula_probability,0,0.55879681012801,0.000244753002836069
1,2,1,35,21,22,0.647940868524712,0.0001,0.000514,paper_formula_probability,0,0.55879681012801,0.000244753002836069
1,2,1,36,22,23,0.144127335056424,0.0001,0.000582,paper_formula_probability,0,0.55879681012801,0.000244753002836069
1,2,1,37,22,35,0.700264119215055,0.0001,0.000502,paper_formula_probability,0,0.55879681012801,0.000244753002836069
1,2,1,38,23,24,0.570202106468439,0.0001,0.000377,paper_formula_probability,0,0.55879681012801,0.000244753002836069
1,2,1,39,23,36,0.628288134439689,0.0001,0.000445,paper_formula_probability,0,0.55879681012801,0.000244753002836069
1,2,1,40,25,26,0.335397523006565,0.0001,0.00049,paper_formula_probability,0,0.55879681012801,0.000244753002836069
1,2,1,41,25,37,0.618433852927876,0.0001,0.000457,paper_formula_probability,0,0.55879681012801,0.000244753002836069
1,2,1,42,26,27,0.437620486435816,0.0001,0.000603,paper_formula_probability,0,0.55879681012801,0.000244753002836069
1,2,1,43,26,28,0.13919853258174,0.0001,0.000477,paper_formula_probability,0,0.55879681012801,0.000244753002836069
1,2,1,44,26,29,0.224546523838002,0.0001,2.5e-05,paper_formula_probability,0,0.55879681012801,0.000244753002836069
