candidate_branch,line_loading_11_28,line_loading_12_00,delta_line_loading,P_L_11_28,P_L_12_00,delta_P_L,tail_risk_11_28,tail_risk_12_00,delta_tail_risk,interpretation,note
11,0.345223221566338,0.355193872139362,0.00997065057302432,0.0194852842251244,0.0179103514344313,-0.00157493279069308,60.6320979892019,90.2297490283767,29.5976510391748,higher_wind_output_increases_loading_and_tail_risk,Aggregated across parameter sets and metrics.
12,0.551556842017375,0.519345487406532,-0.0322113546108433,0.10466967147124,0.0794189664980336,-0.0252507049732061,51.9785750335213,90.3627173202185,38.3841422866973,higher_wind_output_reduces_loading_but_tail_still_higher,Aggregated across parameter sets and metrics.
13,0.743488875887425,0.767855379086457,0.0243665031990316,0.286073688171352,0.323954480043787,0.0378807918724341,58.1233783734061,68.0513297264552,9.92795135304901,higher_wind_output_increases_loading_and_tail_risk,Aggregated across parameter sets and metrics.
14,0.65165296802331,0.677296576390514,0.0256436083672043,0.146701195382945,0.207180465073965,0.0604792696910194,61.2169445337452,88.9037954229965,27.6868508892514,higher_wind_output_increases_loading_and_tail_risk,Aggregated across parameter sets and metrics.
15,0.329505079612781,0.32188432691151,-0.00762075270127049,0.0134537787317239,0.003564862299,-0.00988891643272385,61.9126842487425,90.1608031905301,28.2481189417876,higher_wind_output_reduces_loading_but_tail_still_higher,Aggregated across parameter sets and metrics.
16,0.46829636644355,0.487994825383206,0.019698458939656,0.0363193600791046,0.0277596810017124,-0.00855967907739221,61.8940289990416,90.8722450339677,28.9782160349261,higher_wind_output_increases_loading_and_tail_risk,Aggregated across parameter sets and metrics.
17,0.45452734107738,0.474340559726211,0.0198132186488306,0.0557479484040243,0.0387728458101671,-0.0169751025938572,61.8940289990416,90.774793975847,28.8807649768054,higher_wind_output_increases_loading_and_tail_risk,Aggregated across parameter sets and metrics.
18,0.592098913205281,0.603201388924283,0.0111024757190028,0.158534836560842,0.195907525265694,0.0373726887048519,58.4108075690647,69.7550497644425,11.3442421953778,higher_wind_output_increases_loading_and_tail_risk,Aggregated across parameter sets and metrics.
19,0.813429540719413,0.783411151985936,-0.0300183887334777,0.265304799537037,0.304945602888068,0.0396408033510305,58.7152598445214,65.1156649248641,6.40040508034274,higher_wind_output_reduces_loading_but_tail_still_higher,Aggregated across parameter sets and metrics.
20,0.838037842221417,0.830095493832755,-0.00794234838866126,0.120188239709255,0.103859911295331,-0.016328328413925,58.2724433066388,70.299389187651,12.0269458810121,higher_wind_output_reduces_loading_but_tail_still_higher,Aggregated across parameter sets and metrics.
21,0.115252805846687,0.107440623929004,-0.00781218191768331,0.0141058928291158,0.0123150137508074,-0.00179087907830838,58.949257288119,86.2173549004014,27.2680976122824,higher_wind_output_reduces_loading_but_tail_still_higher,Aggregated across parameter sets and metrics.
22,0.118300563239949,0.11167786348825,-0.00662269975169927,0.0096559054391363,0.00824648498429594,-0.00140942045484036,58.9920947968943,86.2173549004014,27.2252601035071,higher_wind_output_reduces_loading_but_tail_still_higher,Aggregated across parameter sets and metrics.
23,0.771663921568985,0.691213359809164,-0.0804505617598211,0.266686042324258,0.288286021142307,0.0215999788180493,60.0026486533055,84.423357540913,24.4207088876075,higher_wind_output_reduces_loading_but_tail_still_higher,Aggregated across parameter sets and metrics.
24,0.313131872183142,0.314967272996716,0.00183540081357436,0.00845462092991632,0.00502119969154458,-0.00343342123837175,60.4175712095342,86.0909248716327,25.6733536620985,higher_wind_output_increases_loading_and_tail_risk,Aggregated across parameter sets and metrics.
25,0.536850801051119,0.5657238898741,0.0288730888229807,0.0496628065111652,0.055776005371085,0.00611319885991975,60.4015284183106,86.0909248716327,25.6893964533221,higher_wind_output_increases_loading_and_tail_risk,Aggregated across parameter sets and metrics.
26,0.474954580604867,0.469438449933167,-0.00551613067169981,0.057481714110117,0.0505912584103754,-0.00689045569974153,60.5291726774746,86.4290666421525,25.8998939646778,higher_wind_output_reduces_loading_but_tail_still_higher,Aggregated across parameter sets and metrics.
27,0.921300025165113,0.916330104409574,-0.00496992075553915,0.362411688940841,0.348596143328604,-0.0138155456122365,60.5390646819436,81.2760517547577,20.7369870728141,higher_wind_output_reduces_loading_but_tail_still_higher,Aggregated across parameter sets and metrics.
28,0.557550475803398,0.606006853357981,0.0484563775545825,0.0172752664765702,0.0488713328448989,0.0315960663683287,60.4015284183106,86.1392961492513,25.7377677309406,higher_wind_output_increases_loading_and_tail_risk,Aggregated across parameter sets and metrics.
29,0.208253944757133,0.253376508739034,0.0451225639819002,0.0167258454555369,0.0165976954029196,-0.000128150052617307,60.9326098010636,88.0243458425244,27.0917360414607,higher_wind_output_increases_loading_and_tail_risk,Aggregated across parameter sets and metrics.
30,0.386535521148255,0.394832025533505,0.0082965043852497,0.0490658293221205,0.0558267063562057,0.00676087703408514,61.7685985521477,86.4314872116081,24.6628886594603,higher_wind_output_increases_loading_and_tail_risk,Aggregated across parameter sets and metrics.
31,0.338227409510819,0.336767561544702,-0.0014598479661167,0.0707032741280164,0.074875714596881,0.00417244046886457,61.7685985521477,86.4313349057852,24.6627363536375,higher_wind_output_reduces_loading_but_tail_still_higher,Aggregated across parameter sets and metrics.
32,0.144662125782513,0.143977516142072,-0.000684609640440592,0.004053916695,0.004053916695,8.67361737988404e-19,61.3477302640698,81.5098179203621,20.1620876562923,higher_wind_output_reduces_loading_but_tail_still_higher,Aggregated across parameter sets and metrics.
33,0.736528111219698,0.733309298129234,-0.00321881309046379,0.0171026625466389,0.0225795308453512,0.00547686829871229,60.5390646819436,81.2760517547577,20.7369870728141,higher_wind_output_reduces_loading_but_tail_still_higher,Aggregated across parameter sets and metrics.
34,0.630904085749314,0.637112597074875,0.00620851132556122,0.00356685032499999,0.00356685032499999,-4.33680868994202e-19,61.3477302640698,81.5098179203621,20.1620876562923,higher_wind_output_increases_loading_and_tail_risk,Aggregated across parameter sets and metrics.
35,0.661432266150519,0.69078661136241,0.0293543452118906,0.0179156742019657,0.0501293346000205,0.0322136603980548,61.3240574824193,88.7283279515603,27.404270469141,higher_wind_output_increases_loading_and_tail_risk,Aggregated across parameter sets and metrics.
36,0.183266718884526,0.185398473812551,0.00213175492802462,0.0167316528956213,0.0176984879571931,0.00096683506157174,61.0551553989315,88.0751921540027,27.0200367550712,higher_wind_output_increases_loading_and_tail_risk,Aggregated across parameter sets and metrics.
37,0.75323355892962,0.758036562141834,0.00480300321221394,0.0305732296550426,0.0471722382812072,0.0165990086261646,62.5347027064765,88.0243458425244,25.4896431360478,higher_wind_output_increases_loading_and_tail_risk,Aggregated across parameter sets and metrics.
38,0.589074367209256,0.629957041009323,0.0408826738000667,0.0294660513115962,0.058235911391777,0.0287698600801808,61.0551553989315,88.0213837494812,26.9662283505497,higher_wind_output_increases_loading_and_tail_risk,Aggregated across parameter sets and metrics.
39,0.637580786763519,0.639141923292613,0.00156113652909395,0.003984335785,0.003984335785,-2.60208521396521e-18,62.7603943577211,88.1763399841797,25.4159456264586,higher_wind_output_increases_loading_and_tail_risk,Aggregated across parameter sets and metrics.
40,0.383655713188937,0.425486101547256,0.0418303883583189,0.138030169339708,0.140823251975451,0.00279308263574302,64.4322685381016,94.2950636606919,29.8627951225903,higher_wind_output_increases_loading_and_tail_risk,Aggregated across parameter sets and metrics.
41,0.624710407679652,0.632137471045685,0.00742706336603227,0.00399626394100001,0.00399626394100001,-8.67361737988404e-19,64.1230333146067,93.6559161133157,29.5328827987091,higher_wind_output_increases_loading_and_tail_risk,Aggregated across parameter sets and metrics.
42,0.604057144245918,0.617915128160243,0.0138579839143249,0.168830718660597,0.171256036962881,0.00242531830228382,64.2681470958477,96.0372521358737,31.7691050400259,higher_wind_output_increases_loading_and_tail_risk,Aggregated across parameter sets and metrics.
43,0.206335740805477,0.188027240658828,-0.018308500146649,0.004016144201,0.004016144201,0,64.4322685381016,94.3289415359952,29.8966729978936,higher_wind_output_reduces_loading_but_tail_still_higher,Aggregated across parameter sets and metrics.
44,0.278621830680689,0.260940988656654,-0.0176808420240355,0.00356685032499999,0.00356685032499999,-1.30104260698261e-18,64.458849134938,94.3289415359952,29.8700924010572,higher_wind_output_reduces_loading_but_tail_still_higher,Aggregated across parameter sets and metrics.
45,0.493641777202178,0.480371319004444,-0.0132704581977335,0.003991293876,0.003991293876,0,64.4588351727352,94.3289415359952,29.87010636326,higher_wind_output_reduces_loading_but_tail_still_higher,Aggregated across parameter sets and metrics.
46,0.600642975987576,0.582507469791158,-0.0181355061964183,0.003953521382,0.00569413446596656,0.00174061308396655,64.4322685381016,94.5446448161679,30.1123762780663,higher_wind_output_reduces_loading_but_tail_still_higher,Aggregated across parameter sets and metrics.
