parameter_set_id,scenario_id,source_table,required_field,field_available,needed_for_metric,fallback_possible,blocking_if_missing,recommended_fix,note
high_hidden_failure,wind_speed_11_28,markov_chain_summary,bus_count,0,NVOR,1,0,not_required_for_current_recompute,Field availability audit for offline severity recompute.
high_hidden_failure,wind_speed_11_28,markov_chain_summary,normalization_base_load,0,LLR,1,0,not_required_for_current_recompute,Field availability audit for offline severity recompute.
high_hidden_failure,wind_speed_11_28,markov_chain_summary,normalization_branch_count,0,LFOR,1,0,not_required_for_current_recompute,Field availability audit for offline severity recompute.
high_hidden_failure,wind_speed_11_28,markov_chain_summary,normalization_bus_count,0,NVOR,1,0,not_required_for_current_recompute,Field availability audit for offline severity recompute.
high_hidden_failure,wind_speed_11_28,severity_component_trace,basic_LLR,1,LLR,0,0,no_fix_required,Field availability audit for offline severity recompute.
high_hidden_failure,wind_speed_11_28,severity_component_trace,basic_LFOR,1,LFOR,0,0,no_fix_required,Field availability audit for offline severity recompute.
high_hidden_failure,wind_speed_11_28,severity_component_trace,basic_NVOR,1,NVOR,0,0,no_fix_required,Field availability audit for offline severity recompute.
high_hidden_failure,wind_speed_11_28,severity_component_trace,basic_CRI,1,CRI,0,0,no_fix_required,Field availability audit for offline severity recompute.
high_hidden_failure,wind_speed_11_28,severity_component_trace,total_load_shed_mw,1,LLR,0,0,no_fix_required,Field availability audit for offline severity recompute.
high_hidden_failure,wind_speed_11_28,severity_component_trace,total_load_shed_frac,1,LLR,0,0,no_fix_required,Field availability audit for offline severity recompute.
high_hidden_failure,wind_speed_11_28,severity_component_trace,max_line_loading_pu,1,LLR,0,0,no_fix_required,Field availability audit for offline severity recompute.
high_hidden_failure,wind_speed_11_28,severity_component_trace,max_voltage_deviation_pu,1,NVOR,0,0,no_fix_required,Field availability audit for offline severity recompute.
high_hidden_failure,wind_speed_11_28,severity_component_trace,overloaded_branch_count,1,LLR,0,0,no_fix_required,Field availability audit for offline severity recompute.
high_hidden_failure,wind_speed_11_28,severity_component_trace,voltage_violation_bus_count,1,NVOR,0,0,no_fix_required,Field availability audit for offline severity recompute.
high_hidden_failure,wind_speed_11_28,severity_component_trace,branch_loading_vector,0,LLR,1,0,not_required_for_current_recompute,Field availability audit for offline severity recompute.
high_hidden_failure,wind_speed_11_28,severity_component_trace,bus_voltage_vector,0,NVOR,1,0,not_required_for_current_recompute,Field availability audit for offline severity recompute.
high_hidden_failure,wind_speed_11_28,severity_component_trace,total_load_mw,0,LLR,1,0,not_required_for_current_recompute,Field availability audit for offline severity recompute.
high_hidden_failure,wind_speed_11_28,severity_component_trace,branch_count,0,LFOR,1,0,not_required_for_current_recompute,Field availability audit for offline severity recompute.
high_hidden_failure,wind_speed_11_28,severity_component_trace,bus_count,0,NVOR,1,0,not_required_for_current_recompute,Field availability audit for offline severity recompute.
high_hidden_failure,wind_speed_11_28,severity_component_trace,normalization_base_load,0,LLR,1,0,not_required_for_current_recompute,Field availability audit for offline severity recompute.
high_hidden_failure,wind_speed_11_28,severity_component_trace,normalization_branch_count,0,LFOR,1,0,not_required_for_current_recompute,Field availability audit for offline severity recompute.
high_hidden_failure,wind_speed_11_28,severity_component_trace,normalization_bus_count,0,NVOR,1,0,not_required_for_current_recompute,Field availability audit for offline severity recompute.
high_hidden_failure,wind_speed_12_00,markov_chain_summary,basic_LLR,1,LLR,0,0,no_fix_required,Field availability audit for offline severity recompute.
high_hidden_failure,wind_speed_12_00,markov_chain_summary,basic_LFOR,1,LFOR,0,0,no_fix_required,Field availability audit for offline severity recompute.
high_hidden_failure,wind_speed_12_00,markov_chain_summary,basic_NVOR,1,NVOR,0,0,no_fix_required,Field availability audit for offline severity recompute.
high_hidden_failure,wind_speed_12_00,markov_chain_summary,basic_CRI,1,CRI,0,0,no_fix_required,Field availability audit for offline severity recompute.
high_hidden_failure,wind_speed_12_00,markov_chain_summary,total_load_shed_mw,1,LLR,0,0,no_fix_required,Field availability audit for offline severity recompute.
high_hidden_failure,wind_speed_12_00,markov_chain_summary,total_load_shed_frac,1,LLR,0,0,no_fix_required,Field availability audit for offline severity recompute.
high_hidden_failure,wind_speed_12_00,markov_chain_summary,max_line_loading_pu,1,LLR,0,0,no_fix_required,Field availability audit for offline severity recompute.
high_hidden_failure,wind_speed_12_00,markov_chain_summary,max_voltage_deviation_pu,1,NVOR,0,0,no_fix_required,Field availability audit for offline severity recompute.
high_hidden_failure,wind_speed_12_00,markov_chain_summary,overloaded_branch_count,0,LLR,0,0,not_required_for_current_recompute,Field availability audit for offline severity recompute.
high_hidden_failure,wind_speed_12_00,markov_chain_summary,voltage_violation_bus_count,0,NVOR,0,0,not_required_for_current_recompute,Field availability audit for offline severity recompute.
high_hidden_failure,wind_speed_12_00,markov_chain_summary,branch_loading_vector,0,LLR,1,0,not_required_for_current_recompute,Field availability audit for offline severity recompute.
high_hidden_failure,wind_speed_12_00,markov_chain_summary,bus_voltage_vector,0,NVOR,1,0,not_required_for_current_recompute,Field availability audit for offline severity recompute.
high_hidden_failure,wind_speed_12_00,markov_chain_summary,total_load_mw,0,LLR,1,0,not_required_for_current_recompute,Field availability audit for offline severity recompute.
high_hidden_failure,wind_speed_12_00,markov_chain_summary,branch_count,0,LFOR,1,0,not_required_for_current_recompute,Field availability audit for offline severity recompute.
high_hidden_failure,wind_speed_12_00,markov_chain_summary,bus_count,0,NVOR,1,0,not_required_for_current_recompute,Field availability audit for offline severity recompute.
high_hidden_failure,wind_speed_12_00,markov_chain_summary,normalization_base_load,0,LLR,1,0,not_required_for_current_recompute,Field availability audit for offline severity recompute.
high_hidden_failure,wind_speed_12_00,markov_chain_summary,normalization_branch_count,0,LFOR,1,0,not_required_for_current_recompute,Field availability audit for offline severity recompute.
high_hidden_failure,wind_speed_12_00,markov_chain_summary,normalization_bus_count,0,NVOR,1,0,not_required_for_current_recompute,Field availability audit for offline severity recompute.
high_hidden_failure,wind_speed_12_00,severity_component_trace,basic_LLR,1,LLR,0,0,no_fix_required,Field availability audit for offline severity recompute.
high_hidden_failure,wind_speed_12_00,severity_component_trace,basic_LFOR,1,LFOR,0,0,no_fix_required,Field availability audit for offline severity recompute.
high_hidden_failure,wind_speed_12_00,severity_component_trace,basic_NVOR,1,NVOR,0,0,no_fix_required,Field availability audit for offline severity recompute.
high_hidden_failure,wind_speed_12_00,severity_component_trace,basic_CRI,1,CRI,0,0,no_fix_required,Field availability audit for offline severity recompute.
high_hidden_failure,wind_speed_12_00,severity_component_trace,total_load_shed_mw,1,LLR,0,0,no_fix_required,Field availability audit for offline severity recompute.
high_hidden_failure,wind_speed_12_00,severity_component_trace,total_load_shed_frac,1,LLR,0,0,no_fix_required,Field availability audit for offline severity recompute.
high_hidden_failure,wind_speed_12_00,severity_component_trace,max_line_loading_pu,1,LLR,0,0,no_fix_required,Field availability audit for offline severity recompute.
high_hidden_failure,wind_speed_12_00,severity_component_trace,max_voltage_deviation_pu,1,NVOR,0,0,no_fix_required,Field availability audit for offline severity recompute.
high_hidden_failure,wind_speed_12_00,severity_component_trace,overloaded_branch_count,1,LLR,0,0,no_fix_required,Field availability audit for offline severity recompute.
high_hidden_failure,wind_speed_12_00,severity_component_trace,voltage_violation_bus_count,1,NVOR,0,0,no_fix_required,Field availability audit for offline severity recompute.
high_hidden_failure,wind_speed_12_00,severity_component_trace,branch_loading_vector,0,LLR,1,0,not_required_for_current_recompute,Field availability audit for offline severity recompute.
high_hidden_failure,wind_speed_12_00,severity_component_trace,bus_voltage_vector,0,NVOR,1,0,not_required_for_current_recompute,Field availability audit for offline severity recompute.
high_hidden_failure,wind_speed_12_00,severity_component_trace,total_load_mw,0,LLR,1,0,not_required_for_current_recompute,Field availability audit for offline severity recompute.
high_hidden_failure,wind_speed_12_00,severity_component_trace,branch_count,0,LFOR,1,0,not_required_for_current_recompute,Field availability audit for offline severity recompute.
high_hidden_failure,wind_speed_12_00,severity_component_trace,bus_count,0,NVOR,1,0,not_required_for_current_recompute,Field availability audit for offline severity recompute.
high_hidden_failure,wind_speed_12_00,severity_component_trace,normalization_base_load,0,LLR,1,0,not_required_for_current_recompute,Field availability audit for offline severity recompute.
high_hidden_failure,wind_speed_12_00,severity_component_trace,normalization_branch_count,0,LFOR,1,0,not_required_for_current_recompute,Field availability audit for offline severity recompute.
high_hidden_failure,wind_speed_12_00,severity_component_trace,normalization_bus_count,0,NVOR,1,0,not_required_for_current_recompute,Field availability audit for offline severity recompute.
benchmark_calibrated_seed,wind_speed_11_28,markov_chain_summary,basic_LLR,1,LLR,0,0,no_fix_required,Field availability audit for offline severity recompute.
benchmark_calibrated_seed,wind_speed_11_28,markov_chain_summary,basic_LFOR,1,LFOR,0,0,no_fix_required,Field availability audit for offline severity recompute.
benchmark_calibrated_seed,wind_speed_11_28,markov_chain_summary,basic_NVOR,1,NVOR,0,0,no_fix_required,Field availability audit for offline severity recompute.
benchmark_calibrated_seed,wind_speed_11_28,markov_chain_summary,basic_CRI,1,CRI,0,0,no_fix_required,Field availability audit for offline severity recompute.
benchmark_calibrated_seed,wind_speed_11_28,markov_chain_summary,total_load_shed_mw,1,LLR,0,0,no_fix_required,Field availability audit for offline severity recompute.
benchmark_calibrated_seed,wind_speed_11_28,markov_chain_summary,total_load_shed_frac,1,LLR,0,0,no_fix_required,Field availability audit for offline severity recompute.
benchmark_calibrated_seed,wind_speed_11_28,markov_chain_summary,max_line_loading_pu,1,LLR,0,0,no_fix_required,Field availability audit for offline severity recompute.
benchmark_calibrated_seed,wind_speed_11_28,markov_chain_summary,max_voltage_deviation_pu,1,NVOR,0,0,no_fix_required,Field availability audit for offline severity recompute.
benchmark_calibrated_seed,wind_speed_11_28,markov_chain_summary,overloaded_branch_count,0,LLR,0,0,not_required_for_current_recompute,Field availability audit for offline severity recompute.
benchmark_calibrated_seed,wind_speed_11_28,markov_chain_summary,voltage_violation_bus_count,0,NVOR,0,0,not_required_for_current_recompute,Field availability audit for offline severity recompute.
benchmark_calibrated_seed,wind_speed_11_28,markov_chain_summary,branch_loading_vector,0,LLR,1,0,not_required_for_current_recompute,Field availability audit for offline severity recompute.
benchmark_calibrated_seed,wind_speed_11_28,markov_chain_summary,bus_voltage_vector,0,NVOR,1,0,not_required_for_current_recompute,Field availability audit for offline severity recompute.
benchmark_calibrated_seed,wind_speed_11_28,markov_chain_summary,total_load_mw,0,LLR,1,0,not_required_for_current_recompute,Field availability audit for offline severity recompute.
benchmark_calibrated_seed,wind_speed_11_28,markov_chain_summary,branch_count,0,LFOR,1,0,not_required_for_current_recompute,Field availability audit for offline severity recompute.
benchmark_calibrated_seed,wind_speed_11_28,markov_chain_summary,bus_count,0,NVOR,1,0,not_required_for_current_recompute,Field availability audit for offline severity recompute.
benchmark_calibrated_seed,wind_speed_11_28,markov_chain_summary,normalization_base_load,0,LLR,1,0,not_required_for_current_recompute,Field availability audit for offline severity recompute.
benchmark_calibrated_seed,wind_speed_11_28,markov_chain_summary,normalization_branch_count,0,LFOR,1,0,not_required_for_current_recompute,Field availability audit for offline severity recompute.
benchmark_calibrated_seed,wind_speed_11_28,markov_chain_summary,normalization_bus_count,0,NVOR,1,0,not_required_for_current_recompute,Field availability audit for offline severity recompute.
benchmark_calibrated_seed,wind_speed_11_28,severity_component_trace,basic_LLR,1,LLR,0,0,no_fix_required,Field availability audit for offline severity recompute.
benchmark_calibrated_seed,wind_speed_11_28,severity_component_trace,basic_LFOR,1,LFOR,0,0,no_fix_required,Field availability audit for offline severity recompute.
benchmark_calibrated_seed,wind_speed_11_28,severity_component_trace,basic_NVOR,1,NVOR,0,0,no_fix_required,Field availability audit for offline severity recompute.
benchmark_calibrated_seed,wind_speed_11_28,severity_component_trace,basic_CRI,1,CRI,0,0,no_fix_required,Field availability audit for offline severity recompute.
benchmark_calibrated_seed,wind_speed_11_28,severity_component_trace,total_load_shed_mw,1,LLR,0,0,no_fix_required,Field availability audit for offline severity recompute.
benchmark_calibrated_seed,wind_speed_11_28,severity_component_trace,total_load_shed_frac,1,LLR,0,0,no_fix_required,Field availability audit for offline severity recompute.
benchmark_calibrated_seed,wind_speed_11_28,severity_component_trace,max_line_loading_pu,1,LLR,0,0,no_fix_required,Field availability audit for offline severity recompute.
benchmark_calibrated_seed,wind_speed_11_28,severity_component_trace,max_voltage_deviation_pu,1,NVOR,0,0,no_fix_required,Field availability audit for offline severity recompute.
benchmark_calibrated_seed,wind_speed_11_28,severity_component_trace,overloaded_branch_count,1,LLR,0,0,no_fix_required,Field availability audit for offline severity recompute.
benchmark_calibrated_seed,wind_speed_11_28,severity_component_trace,voltage_violation_bus_count,1,NVOR,0,0,no_fix_required,Field availability audit for offline severity recompute.
benchmark_calibrated_seed,wind_speed_11_28,severity_component_trace,branch_loading_vector,0,LLR,1,0,not_required_for_current_recompute,Field availability audit for offline severity recompute.
benchmark_calibrated_seed,wind_speed_11_28,severity_component_trace,bus_voltage_vector,0,NVOR,1,0,not_required_for_current_recompute,Field availability audit for offline severity recompute.
benchmark_calibrated_seed,wind_speed_11_28,severity_component_trace,total_load_mw,0,LLR,1,0,not_required_for_current_recompute,Field availability audit for offline severity recompute.
benchmark_calibrated_seed,wind_speed_11_28,severity_component_trace,branch_count,0,LFOR,1,0,not_required_for_current_recompute,Field availability audit for offline severity recompute.
benchmark_calibrated_seed,wind_speed_11_28,severity_component_trace,bus_count,0,NVOR,1,0,not_required_for_current_recompute,Field availability audit for offline severity recompute.
benchmark_calibrated_seed,wind_speed_11_28,severity_component_trace,normalization_base_load,0,LLR,1,0,not_required_for_current_recompute,Field availability audit for offline severity recompute.
benchmark_calibrated_seed,wind_speed_11_28,severity_component_trace,normalization_branch_count,0,LFOR,1,0,not_required_for_current_recompute,Field availability audit for offline severity recompute.
benchmark_calibrated_seed,wind_speed_11_28,severity_component_trace,normalization_bus_count,0,NVOR,1,0,not_required_for_current_recompute,Field availability audit for offline severity recompute.
benchmark_calibrated_seed,wind_speed_12_00,markov_chain_summary,basic_LLR,1,LLR,0,0,no_fix_required,Field availability audit for offline severity recompute.
benchmark_calibrated_seed,wind_speed_12_00,markov_chain_summary,basic_LFOR,1,LFOR,0,0,no_fix_required,Field availability audit for offline severity recompute.
benchmark_calibrated_seed,wind_speed_12_00,markov_chain_summary,basic_NVOR,1,NVOR,0,0,no_fix_required,Field availability audit for offline severity recompute.
benchmark_calibrated_seed,wind_speed_12_00,markov_chain_summary,basic_CRI,1,CRI,0,0,no_fix_required,Field availability audit for offline severity recompute.
benchmark_calibrated_seed,wind_speed_12_00,markov_chain_summary,total_load_shed_mw,1,LLR,0,0,no_fix_required,Field availability audit for offline severity recompute.
benchmark_calibrated_seed,wind_speed_12_00,markov_chain_summary,total_load_shed_frac,1,LLR,0,0,no_fix_required,Field availability audit for offline severity recompute.
benchmark_calibrated_seed,wind_speed_12_00,markov_chain_summary,max_line_loading_pu,1,LLR,0,0,no_fix_required,Field availability audit for offline severity recompute.
benchmark_calibrated_seed,wind_speed_12_00,markov_chain_summary,max_voltage_deviation_pu,1,NVOR,0,0,no_fix_required,Field availability audit for offline severity recompute.
benchmark_calibrated_seed,wind_speed_12_00,markov_chain_summary,overloaded_branch_count,0,LLR,0,0,not_required_for_current_recompute,Field availability audit for offline severity recompute.
benchmark_calibrated_seed,wind_speed_12_00,markov_chain_summary,voltage_violation_bus_count,0,NVOR,0,0,not_required_for_current_recompute,Field availability audit for offline severity recompute.
benchmark_calibrated_seed,wind_speed_12_00,markov_chain_summary,branch_loading_vector,0,LLR,1,0,not_required_for_current_recompute,Field availability audit for offline severity recompute.
benchmark_calibrated_seed,wind_speed_12_00,markov_chain_summary,bus_voltage_vector,0,NVOR,1,0,not_required_for_current_recompute,Field availability audit for offline severity recompute.
benchmark_calibrated_seed,wind_speed_12_00,markov_chain_summary,total_load_mw,0,LLR,1,0,not_required_for_current_recompute,Field availability audit for offline severity recompute.
benchmark_calibrated_seed,wind_speed_12_00,markov_chain_summary,branch_count,0,LFOR,1,0,not_required_for_current_recompute,Field availability audit for offline severity recompute.
benchmark_calibrated_seed,wind_speed_12_00,markov_chain_summary,bus_count,0,NVOR,1,0,not_required_for_current_recompute,Field availability audit for offline severity recompute.
benchmark_calibrated_seed,wind_speed_12_00,markov_chain_summary,normalization_base_load,0,LLR,1,0,not_required_for_current_recompute,Field availability audit for offline severity recompute.
benchmark_calibrated_seed,wind_speed_12_00,markov_chain_summary,normalization_branch_count,0,LFOR,1,0,not_required_for_current_recompute,Field availability audit for offline severity recompute.
benchmark_calibrated_seed,wind_speed_12_00,markov_chain_summary,normalization_bus_count,0,NVOR,1,0,not_required_for_current_recompute,Field availability audit for offline severity recompute.
benchmark_calibrated_seed,wind_speed_12_00,severity_component_trace,basic_LLR,1,LLR,0,0,no_fix_required,Field availability audit for offline severity recompute.
benchmark_calibrated_seed,wind_speed_12_00,severity_component_trace,basic_LFOR,1,LFOR,0,0,no_fix_required,Field availability audit for offline severity recompute.
benchmark_calibrated_seed,wind_speed_12_00,severity_component_trace,basic_NVOR,1,NVOR,0,0,no_fix_required,Field availability audit for offline severity recompute.
benchmark_calibrated_seed,wind_speed_12_00,severity_component_trace,basic_CRI,1,CRI,0,0,no_fix_required,Field availability audit for offline severity recompute.
benchmark_calibrated_seed,wind_speed_12_00,severity_component_trace,total_load_shed_mw,1,LLR,0,0,no_fix_required,Field availability audit for offline severity recompute.
benchmark_calibrated_seed,wind_speed_12_00,severity_component_trace,total_load_shed_frac,1,LLR,0,0,no_fix_required,Field availability audit for offline severity recompute.
benchmark_calibrated_seed,wind_speed_12_00,severity_component_trace,max_line_loading_pu,1,LLR,0,0,no_fix_required,Field availability audit for offline severity recompute.
benchmark_calibrated_seed,wind_speed_12_00,severity_component_trace,max_voltage_deviation_pu,1,NVOR,0,0,no_fix_required,Field availability audit for offline severity recompute.
benchmark_calibrated_seed,wind_speed_12_00,severity_component_trace,overloaded_branch_count,1,LLR,0,0,no_fix_required,Field availability audit for offline severity recompute.
benchmark_calibrated_seed,wind_speed_12_00,severity_component_trace,voltage_violation_bus_count,1,NVOR,0,0,no_fix_required,Field availability audit for offline severity recompute.
benchmark_calibrated_seed,wind_speed_12_00,severity_component_trace,branch_loading_vector,0,LLR,1,0,not_required_for_current_recompute,Field availability audit for offline severity recompute.
benchmark_calibrated_seed,wind_speed_12_00,severity_component_trace,bus_voltage_vector,0,NVOR,1,0,not_required_for_current_recompute,Field availability audit for offline severity recompute.
benchmark_calibrated_seed,wind_speed_12_00,severity_component_trace,total_load_mw,0,LLR,1,0,not_required_for_current_recompute,Field availability audit for offline severity recompute.
benchmark_calibrated_seed,wind_speed_12_00,severity_component_trace,branch_count,0,LFOR,1,0,not_required_for_current_recompute,Field availability audit for offline severity recompute.
benchmark_calibrated_seed,wind_speed_12_00,severity_component_trace,bus_count,0,NVOR,1,0,not_required_for_current_recompute,Field availability audit for offline severity recompute.
benchmark_calibrated_seed,wind_speed_12_00,severity_component_trace,normalization_base_load,0,LLR,1,0,not_required_for_current_recompute,Field availability audit for offline severity recompute.
benchmark_calibrated_seed,wind_speed_12_00,severity_component_trace,normalization_branch_count,0,LFOR,1,0,not_required_for_current_recompute,Field availability audit for offline severity recompute.
benchmark_calibrated_seed,wind_speed_12_00,severity_component_trace,normalization_bus_count,0,NVOR,1,0,not_required_for_current_recompute,Field availability audit for offline severity recompute.
