branch_index,from_bus,to_bus,island_count,main_island_id,disconnected_load_mw,disconnected_generation_mw,disconnected_wind_mw,original_slack_in_main_island,new_slack_bus,main_island_load_mw,main_island_load_share,main_island_generation_mw,main_island_gen_share,original_slack_island_id,original_slack_island_load_mw,original_slack_island_load_share,original_slack_island_generation_mw,main_island_selection_reason
14,6,31,2,1,9.2,977.871,300,0,39,6245.03,0.998528995575794,5351.67970675174,0.845507043816411,2,9.2,0.0014710044242057,977.871,largest_load_island_selected
15,7,8,1,1,0,0,0,1,31,6254.23,1,6329.55070675174,1,1,6254.23,1,6329.55070675174,original_slack_island_has_sufficient_load
16,8,9,1,1,0,0,0,1,31,6254.23,1,6329.55070675174,1,1,6254.23,1,6329.55070675174,original_slack_island_has_sufficient_load
17,9,39,1,1,0,0,0,1,31,6254.23,1,6329.55070675174,1,1,6254.23,1,6329.55070675174,original_slack_island_has_sufficient_load
18,10,11,1,1,0,0,0,1,31,6254.23,1,6329.55070675174,1,1,6254.23,1,6329.55070675174,original_slack_island_has_sufficient_load
19,10,13,1,1,0,0,0,1,31,6254.23,1,6329.55070675174,1,1,6254.23,1,6329.55070675174,original_slack_island_has_sufficient_load
20,10,32,2,1,0,606.284615268811,300,1,31,6254.23,1,5723.26609148293,0.904213641163806,1,6254.23,1,5723.26609148293,original_slack_island_has_sufficient_load
21,12,11,1,1,0,0,0,1,31,6254.23,1,6329.55070675174,1,1,6254.23,1,6329.55070675174,original_slack_island_has_sufficient_load
22,12,13,1,1,0,0,0,1,31,6254.23,1,6329.55070675174,1,1,6254.23,1,6329.55070675174,original_slack_island_has_sufficient_load
23,13,14,1,1,0,0,0,1,31,6254.23,1,6329.55070675174,1,1,6254.23,1,6329.55070675174,original_slack_island_has_sufficient_load
24,14,15,1,1,0,0,0,1,31,6254.23,1,6329.55070675174,1,1,6254.23,1,6329.55070675174,original_slack_island_has_sufficient_load
25,15,16,1,1,0,0,0,1,31,6254.23,1,6329.55070675174,1,1,6254.23,1,6329.55070675174,original_slack_island_has_sufficient_load
26,16,17,1,1,0,0,0,1,31,6254.23,1,6329.55070675174,1,1,6254.23,1,6329.55070675174,original_slack_island_has_sufficient_load
27,16,19,2,1,680,1136.31447395132,600,1,31,5574.23,0.89127358603697,5193.23623280042,0.820474702455704,1,5574.23,0.89127358603697,5193.23623280042,original_slack_island_has_sufficient_load
28,16,21,1,1,0,0,0,1,31,6254.23,1,6329.55070675174,1,1,6254.23,1,6329.55070675174,original_slack_island_has_sufficient_load
29,16,24,1,1,0,0,0,1,31,6254.23,1,6329.55070675174,1,1,6254.23,1,6329.55070675174,original_slack_island_has_sufficient_load
30,17,18,1,1,0,0,0,1,31,6254.23,1,6329.55070675174,1,1,6254.23,1,6329.55070675174,original_slack_island_has_sufficient_load
31,17,27,1,1,0,0,0,1,31,6254.23,1,6329.55070675174,1,1,6254.23,1,6329.55070675174,original_slack_island_has_sufficient_load
32,19,20,2,1,680,538.920410571228,300,1,31,5574.23,0.89127358603697,5790.63029618051,0.914856451027976,1,5574.23,0.89127358603697,5790.63029618051,original_slack_island_has_sufficient_load
33,19,33,2,1,0,597.394063380088,300,1,31,6254.23,1,5732.15664337165,0.905618251427728,1,6254.23,1,5732.15664337165,original_slack_island_has_sufficient_load
34,20,34,2,1,0,538.920410571228,300,1,31,6254.23,1,5790.63029618051,0.914856451027976,1,6254.23,1,5790.63029618051,original_slack_island_has_sufficient_load
35,21,22,1,1,0,0,0,1,31,6254.23,1,6329.55070675174,1,1,6254.23,1,6329.55070675174,original_slack_island_has_sufficient_load
36,22,23,1,1,0,0,0,1,31,6254.23,1,6329.55070675174,1,1,6254.23,1,6329.55070675174,original_slack_island_has_sufficient_load
37,22,35,2,1,0,605.991070070916,300,1,31,6254.23,1,5723.55963668082,0.904260018104523,1,6254.23,1,5723.55963668082,original_slack_island_has_sufficient_load
38,23,24,1,1,0,0,0,1,31,6254.23,1,6329.55070675174,1,1,6254.23,1,6329.55070675174,original_slack_island_has_sufficient_load
39,23,36,2,1,0,563.531328023536,300,1,31,6254.23,1,5766.0193787282,0.910968194405581,1,6254.23,1,5766.0193787282,original_slack_island_has_sufficient_load
40,25,26,1,1,0,0,0,1,31,6254.23,1,6329.55070675174,1,1,6254.23,1,6329.55070675174,original_slack_island_has_sufficient_load
41,25,37,2,1,0,554.155912141232,300,1,31,6254.23,1,5775.39479461051,0.912449407893974,1,6254.23,1,5775.39479461051,original_slack_island_has_sufficient_load
42,26,27,1,1,0,0,0,1,31,6254.23,1,6329.55070675174,1,1,6254.23,1,6329.55070675174,original_slack_island_has_sufficient_load
43,26,28,1,1,0,0,0,1,31,6254.23,1,6329.55070675174,1,1,6254.23,1,6329.55070675174,original_slack_island_has_sufficient_load
44,26,29,1,1,0,0,0,1,31,6254.23,1,6329.55070675174,1,1,6254.23,1,6329.55070675174,original_slack_island_has_sufficient_load
45,28,29,1,1,0,0,0,1,31,6254.23,1,6329.55070675174,1,1,6254.23,1,6329.55070675174,original_slack_island_has_sufficient_load
46,29,38,2,1,0,690.632458715039,300,1,31,6254.23,1,5638.9182480367,0.890887601551507,1,6254.23,1,5638.9182480367,original_slack_island_has_sufficient_load
