stress_case,wind_bus,wind_voltage_pu,p_wt_h,voltage_region,probability_status,p_wt_Ek,num_probability_positive,max_p_wt_h,mean_p_wt_h,expected_behavior,test_status
multi_low_voltage,39,1,0,normal,diagnostic_assumption_not_paper,0.331632653061224,3,0.5,0.0857142857142857,multiple non-forced low voltages make 0 <= P_wt_Ek < 1,pass
one_high_voltage,30,1.2,0.499999999999999,high_voltage_ride_through_risk,diagnostic_assumption_not_paper,0.500000000000001,1,0.499999999999999,0.0499999999999999,single non-forced risk voltage makes 0 < P_wt_Ek < 1,pass
one_high_voltage,31,1,0,normal,diagnostic_assumption_not_paper,0.500000000000001,1,0.499999999999999,0.0499999999999999,single non-forced risk voltage makes 0 < P_wt_Ek < 1,pass
one_high_voltage,32,1,0,normal,diagnostic_assumption_not_paper,0.500000000000001,1,0.499999999999999,0.0499999999999999,single non-forced risk voltage makes 0 < P_wt_Ek < 1,pass
one_high_voltage,33,1,0,normal,diagnostic_assumption_not_paper,0.500000000000001,1,0.499999999999999,0.0499999999999999,single non-forced risk voltage makes 0 < P_wt_Ek < 1,pass
one_high_voltage,34,1,0,normal,diagnostic_assumption_not_paper,0.500000000000001,1,0.499999999999999,0.0499999999999999,single non-forced risk voltage makes 0 < P_wt_Ek < 1,pass
one_high_voltage,35,1,0,normal,diagnostic_assumption_not_paper,0.500000000000001,1,0.499999999999999,0.0499999999999999,single non-forced risk voltage makes 0 < P_wt_Ek < 1,pass
one_high_voltage,36,1,0,normal,diagnostic_assumption_not_paper,0.500000000000001,1,0.499999999999999,0.0499999999999999,single non-forced risk voltage makes 0 < P_wt_Ek < 1,pass
one_high_voltage,37,1,0,normal,diagnostic_assumption_not_paper,0.500000000000001,1,0.499999999999999,0.0499999999999999,single non-forced risk voltage makes 0 < P_wt_Ek < 1,pass
one_high_voltage,38,1,0,normal,diagnostic_assumption_not_paper,0.500000000000001,1,0.499999999999999,0.0499999999999999,single non-forced risk voltage makes 0 < P_wt_Ek < 1,pass
one_high_voltage,39,1,0,normal,diagnostic_assumption_not_paper,0.500000000000001,1,0.499999999999999,0.0499999999999999,single non-forced risk voltage makes 0 < P_wt_Ek < 1,pass
one_forced_high_voltage,30,1.35,1,high_voltage_forced_trip,diagnostic_assumption_not_paper,0,1,1,0.1,forced voltage trip probability makes P_wt_Ek equal 0,pass
one_forced_high_voltage,31,1,0,normal,diagnostic_assumption_not_paper,0,1,1,0.1,forced voltage trip probability makes P_wt_Ek equal 0,pass
one_forced_high_voltage,32,1,0,normal,diagnostic_assumption_not_paper,0,1,1,0.1,forced voltage trip probability makes P_wt_Ek equal 0,pass
one_forced_high_voltage,33,1,0,normal,diagnostic_assumption_not_paper,0,1,1,0.1,forced voltage trip probability makes P_wt_Ek equal 0,pass
one_forced_high_voltage,34,1,0,normal,diagnostic_assumption_not_paper,0,1,1,0.1,forced voltage trip probability makes P_wt_Ek equal 0,pass
one_forced_high_voltage,35,1,0,normal,diagnostic_assumption_not_paper,0,1,1,0.1,forced voltage trip probability makes P_wt_Ek equal 0,pass
one_forced_high_voltage,36,1,0,normal,diagnostic_assumption_not_paper,0,1,1,0.1,forced voltage trip probability makes P_wt_Ek equal 0,pass
one_forced_high_voltage,37,1,0,normal,diagnostic_assumption_not_paper,0,1,1,0.1,forced voltage trip probability makes P_wt_Ek equal 0,pass
one_forced_high_voltage,38,1,0,normal,diagnostic_assumption_not_paper,0,1,1,0.1,forced voltage trip probability makes P_wt_Ek equal 0,pass
one_forced_high_voltage,39,1,0,normal,diagnostic_assumption_not_paper,0,1,1,0.1,forced voltage trip probability makes P_wt_Ek equal 0,pass
mixed_low_high,30,0.55,0.5,low_voltage_ride_through_risk,diagnostic_assumption_not_paper,0,3,1,0.2,forced voltage trip probability makes P_wt_Ek equal 0,pass
mixed_low_high,31,1.2,0.499999999999999,high_voltage_ride_through_risk,diagnostic_assumption_not_paper,0,3,1,0.2,forced voltage trip probability makes P_wt_Ek equal 0,pass
mixed_low_high,32,1.35,1,high_voltage_forced_trip,diagnostic_assumption_not_paper,0,3,1,0.2,forced voltage trip probability makes P_wt_Ek equal 0,pass
mixed_low_high,33,1,0,normal,diagnostic_assumption_not_paper,0,3,1,0.2,forced voltage trip probability makes P_wt_Ek equal 0,pass
mixed_low_high,34,1,0,normal,diagnostic_assumption_not_paper,0,3,1,0.2,forced voltage trip probability makes P_wt_Ek equal 0,pass
mixed_low_high,35,1,0,normal,diagnostic_assumption_not_paper,0,3,1,0.2,forced voltage trip probability makes P_wt_Ek equal 0,pass
mixed_low_high,36,1,0,normal,diagnostic_assumption_not_paper,0,3,1,0.2,forced voltage trip probability makes P_wt_Ek equal 0,pass
mixed_low_high,37,1,0,normal,diagnostic_assumption_not_paper,0,3,1,0.2,forced voltage trip probability makes P_wt_Ek equal 0,pass
mixed_low_high,38,1,0,normal,diagnostic_assumption_not_paper,0,3,1,0.2,forced voltage trip probability makes P_wt_Ek equal 0,pass
mixed_low_high,39,1,0,normal,diagnostic_assumption_not_paper,0,3,1,0.2,forced voltage trip probability makes P_wt_Ek equal 0,pass
