parameter_set_id,metric_name,sample_variant,value_11_28_p95,value_12_00_p95,paper_direction,sim_direction,direction_match,delta_12_minus_11,relative_delta,diagnosis,note
high_hidden_failure,R2_display,full_event_chain_risk_display,0.779008026825,0.9320148,12.00_lower_than_11.28,12_higher,0,0.153006773175,0.196412319136953,wind_speed_trend_opposite_due_to_chain_probability,Paper benchmark direction is lower risk at 12.00 m/s than 11.28 m/s.
high_hidden_failure,R3_display,full_event_chain_risk_display,0.27344944,0.3999056631336,12.00_lower_than_11.28,12_higher,0,0.1264562231336,0.462448279775596,wind_speed_trend_opposite_due_to_severity,Paper benchmark direction is lower risk at 12.00 m/s than 11.28 m/s.
high_hidden_failure,basic_CRI,severity_only,1.17734,1.214942,12.00_lower_than_11.28,12_higher,0,0.0376019999999999,0.0319380977457658,wind_speed_trend_opposite_due_to_severity,Paper benchmark direction is lower risk at 12.00 m/s than 11.28 m/s.
high_hidden_failure,basic_LFOR,severity_only,2.9149,2.8706,12.00_lower_than_11.28,12_lower,1,-0.0442999999999998,-0.0151977769391745,wind_speed_trend_matches_paper,Paper benchmark direction is lower risk at 12.00 m/s than 11.28 m/s.
high_hidden_failure,basic_LLR,severity_only,1,1,12.00_lower_than_11.28,no_effect,0,0,0,wind_speed_trend_opposite_due_to_severity,Paper benchmark direction is lower risk at 12.00 m/s than 11.28 m/s.
high_hidden_failure,basic_NVOR,severity_only,1.6844,1.9065,12.00_lower_than_11.28,12_higher,0,0.2221,0.131857041082878,wind_speed_trend_opposite_due_to_severity,Paper benchmark direction is lower risk at 12.00 m/s than 11.28 m/s.
benchmark_calibrated_seed,CRI_display,full_event_chain_risk_display,1.2856791058872,1.9537265,12.00_lower_than_11.28,12_higher,0,0.6680473941128,0.519606635165627,wind_speed_trend_opposite_due_to_severity,Paper benchmark direction is lower risk at 12.00 m/s than 11.28 m/s.
benchmark_calibrated_seed,R1_display,full_event_chain_risk_display,0.865499078565,1.60548835545,12.00_lower_than_11.28,12_higher,0,0.739989276885,0.854985632234183,wind_speed_trend_opposite_due_to_chain_probability,Paper benchmark direction is lower risk at 12.00 m/s than 11.28 m/s.
benchmark_calibrated_seed,R2_display,full_event_chain_risk_display,2.43729960705,3.582268486,12.00_lower_than_11.28,12_higher,0,1.14496887895,0.469769443050056,wind_speed_trend_opposite_due_to_severity,Paper benchmark direction is lower risk at 12.00 m/s than 11.28 m/s.
benchmark_calibrated_seed,R3_display,full_event_chain_risk_display,1.01154617604,1.8534348,12.00_lower_than_11.28,12_higher,0,0.84188862396,0.832278984292961,wind_speed_trend_opposite_due_to_severity,Paper benchmark direction is lower risk at 12.00 m/s than 11.28 m/s.
benchmark_calibrated_seed,basic_CRI,severity_only,1.34149,1.37781,12.00_lower_than_11.28,12_higher,0,0.0363200000000001,0.0270743725260718,wind_speed_trend_opposite_due_to_severity,Paper benchmark direction is lower risk at 12.00 m/s than 11.28 m/s.
benchmark_calibrated_seed,basic_LFOR,severity_only,2.7083,2.8389,12.00_lower_than_11.28,12_higher,0,0.1306,0.0482221319647012,wind_speed_trend_opposite_due_to_severity,Paper benchmark direction is lower risk at 12.00 m/s than 11.28 m/s.
benchmark_calibrated_seed,basic_LLR,severity_only,1,1,12.00_lower_than_11.28,no_effect,0,0,0,wind_speed_trend_opposite_due_to_severity,Paper benchmark direction is lower risk at 12.00 m/s than 11.28 m/s.
benchmark_calibrated_seed,basic_NVOR,severity_only,1.8735,1.9255,12.00_lower_than_11.28,12_higher,0,0.052,0.0277555377635442,wind_speed_trend_opposite_due_to_severity,Paper benchmark direction is lower risk at 12.00 m/s than 11.28 m/s.
