parameter_set_id,target_group,metric_name,paper_direction,sim_direction,direction_match,paper_delta,sim_delta,paper_relative_delta,sim_relative_delta,trend_status,note
high_hidden_failure,wind_speed_scan,SNVOR,decrease,increase,0,-1.566,0.001706828284384,-0.239149689991143,1.34486939150777,opposite_direction,comparison=wind_speed_11_28_to_wind_speed_12_00
high_hidden_failure,penetration_scan,SNVOR,increase,increase,1,7.1337,0.00187109959642615,1.52765702293509,1.49973732694895,matched_direction,comparison=penetration_40pct_to_penetration_60pct_to_penetration_80pct
low_hidden_failure,topology_compare,CRI,decrease,decrease,1,-1.9329,-0.196553282198305,-0.270290300928515,-0.896540866100446,matched_direction,comparison=concentrated_bus34_to_distributed_30_39
low_hidden_failure,wind_speed_scan,CRI,decrease,increase,0,-1.1055,0.0106593993345415,-0.157129455909944,0.88662228950944,opposite_direction,comparison=wind_speed_11_28_to_wind_speed_12_00
low_hidden_failure,penetration_scan,CRI,increase,increase,1,7.6843,0.0168574677027972,1.36772689247637,1.27941805525192,matched_direction,comparison=penetration_40pct_to_penetration_60pct_to_penetration_80pct
low_hidden_failure,topology_compare,SLFOR,decrease,increase,0,-2.0067,0.048289184975391,-0.32062056624273,217475155461196,opposite_direction,comparison=concentrated_bus34_to_distributed_30_39
low_hidden_failure,wind_speed_scan,SLFOR,decrease,increase,0,-1.2582,0.0245224432611053,-0.208958198395695,1.03179659862106,opposite_direction,comparison=wind_speed_11_28_to_wind_speed_12_00
low_hidden_failure,penetration_scan,SLFOR,increase,increase,1,8.2996,0.0546889433618225,1.95188259918628,2.05354943119784,matched_direction,comparison=penetration_40pct_to_penetration_60pct_to_penetration_80pct
low_hidden_failure,topology_compare,SLLR,decrease,decrease,1,-2.1429,-0.281916830899843,-0.251136789799362,-0.939722769666142,matched_direction,comparison=concentrated_bus34_to_distributed_30_39
low_hidden_failure,wind_speed_scan,SLLR,decrease,increase,0,-0.901,0.0072668819879973,-0.119557861493345,0.67184625487868,opposite_direction,comparison=wind_speed_11_28_to_wind_speed_12_00
low_hidden_failure,penetration_scan,SLLR,increase,increase,1,7.6627,0.0086556098903561,1.19918934568616,0.800238547719866,matched_direction,comparison=penetration_40pct_to_penetration_60pct_to_penetration_80pct
low_hidden_failure,topology_compare,SNVOR,decrease,decrease,1,-1.2289,-0.185305103267387,-0.315215718463038,-0.944586910708394,matched_direction,comparison=concentrated_bus34_to_distributed_30_39
low_hidden_failure,wind_speed_scan,SNVOR,decrease,increase,0,-1.566,0.0069739074476102,-0.239149689991143,1.78964969695708,opposite_direction,comparison=wind_speed_11_28_to_wind_speed_12_00
low_hidden_failure,penetration_scan,SNVOR,increase,increase,1,7.1337,0.00363156548109529,1.52765702293509,0.534120458643425,matched_direction,comparison=penetration_40pct_to_penetration_60pct_to_penetration_80pct
medium_hidden_failure,topology_compare,CRI,decrease,decrease,1,-1.9329,-0.20350727662869,-0.270290300928515,-0.928260205099758,matched_direction,comparison=concentrated_bus34_to_distributed_30_39
medium_hidden_failure,wind_speed_scan,CRI,decrease,increase,0,-1.1055,0.0043208409532571,-0.157129455909944,0.378787065186411,opposite_direction,comparison=wind_speed_11_28_to_wind_speed_12_00
medium_hidden_failure,penetration_scan,CRI,increase,increase,1,7.6843,0.0094030389882891,1.36772689247637,0.80635329062168,matched_direction,comparison=penetration_40pct_to_penetration_60pct_to_penetration_80pct
medium_hidden_failure,topology_compare,SLFOR,decrease,increase,0,-2.0067,0.029269229015685,-0.32062056624273,131816888888461,opposite_direction,comparison=concentrated_bus34_to_distributed_30_39
medium_hidden_failure,wind_speed_scan,SLFOR,decrease,increase,0,-1.2582,0.0042169247210888,-0.208958198395695,0.168324824395431,opposite_direction,comparison=wind_speed_11_28_to_wind_speed_12_00
medium_hidden_failure,penetration_scan,SLFOR,increase,increase,1,8.2996,0.0208617350107362,1.95188259918628,0.805246629121843,matched_direction,comparison=penetration_40pct_to_penetration_60pct_to_penetration_80pct
medium_hidden_failure,topology_compare,SLLR,decrease,decrease,1,-2.1429,-0.286741718781777,-0.251136789799362,-0.955805729272589,matched_direction,comparison=concentrated_bus34_to_distributed_30_39
medium_hidden_failure,wind_speed_scan,SLLR,decrease,increase,0,-0.901,0.00368156472808115,-0.119557861493345,0.384428706004898,opposite_direction,comparison=wind_speed_11_28_to_wind_speed_12_00
medium_hidden_failure,penetration_scan,SLLR,increase,increase,1,7.6627,0.00660914352686168,1.19918934568616,0.68030962767306,matched_direction,comparison=penetration_40pct_to_penetration_60pct_to_penetration_80pct
medium_hidden_failure,topology_compare,SNVOR,decrease,decrease,1,-1.2289,-0.186580455813806,-0.315215718463038,-0.951087980029449,matched_direction,comparison=concentrated_bus34_to_distributed_30_39
medium_hidden_failure,wind_speed_scan,SNVOR,decrease,increase,0,-1.566,0.00634258586095322,-0.239149689991143,1.94990336800813,opposite_direction,comparison=wind_speed_11_28_to_wind_speed_12_00
medium_hidden_failure,penetration_scan,SNVOR,increase,increase,1,7.1337,0.00632602935012427,1.52765702293509,1.94409380962212,matched_direction,comparison=penetration_40pct_to_penetration_60pct_to_penetration_80pct
