scenario_id,source_file,source_function_or_script,config_key,config_value,evidence_type,evidence_status,note
wind_speed_11_28,src/scenarios/build_scenario_library.m,build_scenario_library,wind_speed_mps,11.28,scenario_struct_field,found,"Actual wind speed from scenario library."
wind_speed_11_28,src/scenarios/build_scenario_library.m,build_scenario_library,penetration_ratio,0.479675355719,scenario_struct_field,found,"Scenario penetration ratio as currently stored."
wind_speed_11_28,config/base_config.m,base_config,scenario_penetration_definition,wind_capacity_divided_by_base_load,config_default,found,"Penetration scenario aliases currently use build_scenario_library capacity logic."
wind_speed_11_28,config/base_config.m,base_config,wind_penetration_basis,total_generation_capacity,config_default,found,"Paper-aligned benchmark/calibration scenarios use total_generation_capacity basis."
wind_speed_11_28,src/cases/compute_wind_capacity_from_penetration.m,compute_wind_capacity_from_penetration,capacity_basis_function,penetration * selected basis MW,helper_function,found,"Centralized helper prevents duplicated 7500/base-load conversion logic."
wind_speed_11_28,config/base_config.m,base_config,scenario_centralized_wind_bus,39,config_default,warning_alias_override,"Default centralized bus is 39, but calibration alias concentrated_bus34 explicitly overrides to bus 34."
wind_speed_11_28,config/scenario_config.m,scenario_config,distributed_defaults,wind_buses=30:39;total_wind_capacity_mw=3000;wind_speed_mps=12,config_default,found,"Default scenario config is reference context only; pilot aliases are read from scenario library."
wind_speed_11_28,results/calibration/pilot/benchmark_calibrated_seed/wind_speed_11_28/scenario_run_log.txt,scenario_run_log,runtime_config_evidence,,existing_result_log,missing_in_log,"No scenario run log found for this scenario; dry-run source trace is used instead."
wind_speed_12_00,src/main_run_benchmark_calibration_pilot.m,main_run_benchmark_calibration_pilot,pilot_scenario_list,wind_speed_12_00,script_scenario_list,found,"Pilot target scenario is listed by the calibration pilot entry script; no pilot was run."
wind_speed_12_00,src/scenarios/build_scenario_library.m,build_scenario_library,scenario_group,calibration_pilot,scenario_struct_field,found,"Dry-run scenario struct was read without applying renewable dispatch."
wind_speed_12_00,src/scenarios/build_scenario_library.m,build_scenario_library,wind_buses,30:39,scenario_struct_field,found,"Actual calibration alias wind buses from scenario library."
wind_speed_12_00,src/scenarios/build_scenario_library.m,build_scenario_library,total_wind_capacity_mw,3000,scenario_struct_field,found,"Actual total wind capacity from scenario library."
wind_speed_12_00,src/scenarios/build_scenario_library.m,build_scenario_library,wind_speed_mps,12,scenario_struct_field,found,"Actual wind speed from scenario library."
wind_speed_12_00,src/scenarios/build_scenario_library.m,build_scenario_library,penetration_ratio,0.479675355719,scenario_struct_field,found,"Scenario penetration ratio as currently stored."
wind_speed_12_00,config/base_config.m,base_config,scenario_penetration_definition,wind_capacity_divided_by_base_load,config_default,found,"Penetration scenario aliases currently use build_scenario_library capacity logic."
wind_speed_12_00,config/base_config.m,base_config,wind_penetration_basis,total_generation_capacity,config_default,found,"Paper-aligned benchmark/calibration scenarios use total_generation_capacity basis."
wind_speed_12_00,src/cases/compute_wind_capacity_from_penetration.m,compute_wind_capacity_from_penetration,capacity_basis_function,penetration * selected basis MW,helper_function,found,"Centralized helper prevents duplicated 7500/base-load conversion logic."
wind_speed_12_00,config/base_config.m,base_config,scenario_centralized_wind_bus,39,config_default,warning_alias_override,"Default centralized bus is 39, but calibration alias concentrated_bus34 explicitly overrides to bus 34."
wind_speed_12_00,config/scenario_config.m,scenario_config,distributed_defaults,wind_buses=30:39;total_wind_capacity_mw=3000;wind_speed_mps=12,config_default,found,"Default scenario config is reference context only; pilot aliases are read from scenario library."
wind_speed_12_00,results/calibration/pilot/benchmark_calibrated_seed/wind_speed_12_00/scenario_run_log.txt,scenario_run_log,runtime_config_evidence,,existing_result_log,missing_in_log,"No scenario run log found for this scenario; dry-run source trace is used instead."
penetration_40pct,src/main_run_benchmark_calibration_pilot.m,main_run_benchmark_calibration_pilot,pilot_scenario_list,penetration_40pct,script_scenario_list,found,"Pilot target scenario is listed by the calibration pilot entry script; no pilot was run."
penetration_40pct,src/scenarios/build_scenario_library.m,build_scenario_library,scenario_group,calibration_pilot,scenario_struct_field,found,"Dry-run scenario struct was read without applying renewable dispatch."
penetration_40pct,src/scenarios/build_scenario_library.m,build_scenario_library,wind_buses,30:39,scenario_struct_field,found,"Actual calibration alias wind buses from scenario library."
penetration_40pct,src/scenarios/build_scenario_library.m,build_scenario_library,total_wind_capacity_mw,3000,scenario_struct_field,found,"Actual total wind capacity from scenario library."
penetration_40pct,src/scenarios/build_scenario_library.m,build_scenario_library,wind_speed_mps,12,scenario_struct_field,found,"Actual wind speed from scenario library."
penetration_40pct,src/scenarios/build_scenario_library.m,build_scenario_library,penetration_ratio,0.4,scenario_struct_field,found,"Scenario penetration ratio as currently stored."
penetration_40pct,config/base_config.m,base_config,scenario_penetration_definition,wind_capacity_divided_by_base_load,config_default,found,"Penetration scenario aliases currently use build_scenario_library capacity logic."
penetration_40pct,config/base_config.m,base_config,wind_penetration_basis,total_generation_capacity,config_default,found,"Paper-aligned benchmark/calibration scenarios use total_generation_capacity basis."
penetration_40pct,src/cases/compute_wind_capacity_from_penetration.m,compute_wind_capacity_from_penetration,capacity_basis_function,penetration * selected basis MW,helper_function,found,"Centralized helper prevents duplicated 7500/base-load conversion logic."
penetration_40pct,config/base_config.m,base_config,scenario_centralized_wind_bus,39,config_default,warning_alias_override,"Default centralized bus is 39, but calibration alias concentrated_bus34 explicitly overrides to bus 34."
penetration_40pct,config/scenario_config.m,scenario_config,distributed_defaults,wind_buses=30:39;total_wind_capacity_mw=3000;wind_speed_mps=12,config_default,found,"Default scenario config is reference context only; pilot aliases are read from scenario library."
penetration_40pct,results/calibration/pilot/benchmark_calibrated_seed/penetration_40pct/scenario_run_log.txt,scenario_run_log,runtime_config_evidence,,existing_result_log,missing_in_log,"No scenario run log found for this scenario; dry-run source trace is used instead."
penetration_60pct,src/main_run_benchmark_calibration_pilot.m,main_run_benchmark_calibration_pilot,pilot_scenario_list,penetration_60pct,script_scenario_list,found,"Pilot target scenario is listed by the calibration pilot entry script; no pilot was run."
penetration_60pct,src/scenarios/build_scenario_library.m,build_scenario_library,scenario_group,calibration_pilot,scenario_struct_field,found,"Dry-run scenario struct was read without applying renewable dispatch."
penetration_60pct,src/scenarios/build_scenario_library.m,build_scenario_library,wind_buses,30:39,scenario_struct_field,found,"Actual calibration alias wind buses from scenario library."
penetration_60pct,src/scenarios/build_scenario_library.m,build_scenario_library,total_wind_capacity_mw,4500,scenario_struct_field,found,"Actual total wind capacity from scenario library."
penetration_60pct,src/scenarios/build_scenario_library.m,build_scenario_library,wind_speed_mps,12,scenario_struct_field,found,"Actual wind speed from scenario library."
penetration_60pct,src/scenarios/build_scenario_library.m,build_scenario_library,penetration_ratio,0.6,scenario_struct_field,found,"Scenario penetration ratio as currently stored."
penetration_60pct,config/base_config.m,base_config,scenario_penetration_definition,wind_capacity_divided_by_base_load,config_default,found,"Penetration scenario aliases currently use build_scenario_library capacity logic."
penetration_60pct,config/base_config.m,base_config,wind_penetration_basis,total_generation_capacity,config_default,found,"Paper-aligned benchmark/calibration scenarios use total_generation_capacity basis."
penetration_60pct,src/cases/compute_wind_capacity_from_penetration.m,compute_wind_capacity_from_penetration,capacity_basis_function,penetration * selected basis MW,helper_function,found,"Centralized helper prevents duplicated 7500/base-load conversion logic."
penetration_60pct,config/base_config.m,base_config,scenario_centralized_wind_bus,39,config_default,warning_alias_override,"Default centralized bus is 39, but calibration alias concentrated_bus34 explicitly overrides to bus 34."
penetration_60pct,config/scenario_config.m,scenario_config,distributed_defaults,wind_buses=30:39;total_wind_capacity_mw=3000;wind_speed_mps=12,config_default,found,"Default scenario config is reference context only; pilot aliases are read from scenario library."
penetration_60pct,results/calibration/pilot/benchmark_calibrated_seed/penetration_60pct/scenario_run_log.txt,scenario_run_log,runtime_config_evidence,,existing_result_log,missing_in_log,"No scenario run log found for this scenario; dry-run source trace is used instead."
penetration_80pct,src/main_run_benchmark_calibration_pilot.m,main_run_benchmark_calibration_pilot,pilot_scenario_list,penetration_80pct,script_scenario_list,found,"Pilot target scenario is listed by the calibration pilot entry script; no pilot was run."
penetration_80pct,src/scenarios/build_scenario_library.m,build_scenario_library,scenario_group,calibration_pilot,scenario_struct_field,found,"Dry-run scenario struct was read without applying renewable dispatch."
penetration_80pct,src/scenarios/build_scenario_library.m,build_scenario_library,wind_buses,30:39,scenario_struct_field,found,"Actual calibration alias wind buses from scenario library."
penetration_80pct,src/scenarios/build_scenario_library.m,build_scenario_library,total_wind_capacity_mw,6000,scenario_struct_field,found,"Actual total wind capacity from scenario library."
penetration_80pct,src/scenarios/build_scenario_library.m,build_scenario_library,wind_speed_mps,12,scenario_struct_field,found,"Actual wind speed from scenario library."
penetration_80pct,src/scenarios/build_scenario_library.m,build_scenario_library,penetration_ratio,0.8,scenario_struct_field,found,"Scenario penetration ratio as currently stored."
penetration_80pct,config/base_config.m,base_config,scenario_penetration_definition,wind_capacity_divided_by_base_load,config_default,found,"Penetration scenario aliases currently use build_scenario_library capacity logic."
penetration_80pct,config/base_config.m,base_config,wind_penetration_basis,total_generation_capacity,config_default,found,"Paper-aligned benchmark/calibration scenarios use total_generation_capacity basis."
penetration_80pct,src/cases/compute_wind_capacity_from_penetration.m,compute_wind_capacity_from_penetration,capacity_basis_function,penetration * selected basis MW,helper_function,found,"Centralized helper prevents duplicated 7500/base-load conversion logic."
penetration_80pct,config/base_config.m,base_config,scenario_centralized_wind_bus,39,config_default,warning_alias_override,"Default centralized bus is 39, but calibration alias concentrated_bus34 explicitly overrides to bus 34."
penetration_80pct,config/scenario_config.m,scenario_config,distributed_defaults,wind_buses=30:39;total_wind_capacity_mw=3000;wind_speed_mps=12,config_default,found,"Default scenario config is reference context only; pilot aliases are read from scenario library."
penetration_80pct,results/calibration/pilot/benchmark_calibrated_seed/penetration_80pct/scenario_run_log.txt,scenario_run_log,runtime_config_evidence,,existing_result_log,missing_in_log,"No scenario run log found for this scenario; dry-run source trace is used instead."
