sample_variant,scale_variant,initial_branch,trial_id,chain_id,stage_count,R1_LLR,R2_LFOR,R3_NVOR,R_CRI,sample_status,construction_note
chain_sum_probability_weighted,percent,3,1,7,1,0,0,0,0,valid,sum_over_stage(P_total_Ek * severity_metric_Ek)
chain_sum_severity,per_unit,3,1,7,1,0,0,0,0,valid,sum_over_stage(severity_metric_Ek)
chain_sum_severity,percent,3,1,7,1,0,0,0,0,valid,sum_over_stage(severity_metric_Ek)
chain_max_severity,per_unit,3,1,7,1,0,0,0,0,valid,max_over_stage(severity_metric_Ek)
chain_max_severity,percent,3,1,7,1,0,0,0,0,valid,max_over_stage(severity_metric_Ek)
chain_final_stage_severity,per_unit,3,1,7,1,0,0,0,0,valid,final available stage severity_metric
chain_final_stage_severity,percent,3,1,7,1,0,0,0,0,valid,final available stage severity_metric
chain_mean_stage_severity,per_unit,3,1,7,1,0,0,0,0,valid,mean_over_stage(severity_metric_Ek)
chain_mean_stage_severity,percent,3,1,7,1,0,0,0,0,valid,mean_over_stage(severity_metric_Ek)
chain_sum_probability_weighted,per_unit,3,2,8,1,0,0,0,0,valid,sum_over_stage(P_total_Ek * severity_metric_Ek)
chain_sum_probability_weighted,percent,3,2,8,1,0,0,0,0,valid,sum_over_stage(P_total_Ek * severity_metric_Ek)
chain_sum_severity,per_unit,3,2,8,1,0,0,0,0,valid,sum_over_stage(severity_metric_Ek)
chain_sum_severity,percent,3,2,8,1,0,0,0,0,valid,sum_over_stage(severity_metric_Ek)
chain_max_severity,per_unit,3,2,8,1,0,0,0,0,valid,max_over_stage(severity_metric_Ek)
chain_max_severity,percent,3,2,8,1,0,0,0,0,valid,max_over_stage(severity_metric_Ek)
chain_final_stage_severity,per_unit,3,2,8,1,0,0,0,0,valid,final available stage severity_metric
chain_final_stage_severity,percent,3,2,8,1,0,0,0,0,valid,final available stage severity_metric
chain_mean_stage_severity,per_unit,3,2,8,1,0,0,0,0,valid,mean_over_stage(severity_metric_Ek)
chain_mean_stage_severity,percent,3,2,8,1,0,0,0,0,valid,mean_over_stage(severity_metric_Ek)
chain_sum_probability_weighted,per_unit,3,3,9,1,0,0,0,0,valid,sum_over_stage(P_total_Ek * severity_metric_Ek)
chain_sum_probability_weighted,percent,3,3,9,1,0,0,0,0,valid,sum_over_stage(P_total_Ek * severity_metric_Ek)
chain_sum_severity,per_unit,3,3,9,1,0,0,0,0,valid,sum_over_stage(severity_metric_Ek)
chain_sum_severity,percent,3,3,9,1,0,0,0,0,valid,sum_over_stage(severity_metric_Ek)
chain_max_severity,per_unit,3,3,9,1,0,0,0,0,valid,max_over_stage(severity_metric_Ek)
chain_max_severity,percent,3,3,9,1,0,0,0,0,valid,max_over_stage(severity_metric_Ek)
chain_final_stage_severity,per_unit,3,3,9,1,0,0,0,0,valid,final available stage severity_metric
chain_final_stage_severity,percent,3,3,9,1,0,0,0,0,valid,final available stage severity_metric
chain_mean_stage_severity,per_unit,3,3,9,1,0,0,0,0,valid,mean_over_stage(severity_metric_Ek)
chain_mean_stage_severity,percent,3,3,9,1,0,0,0,0,valid,mean_over_stage(severity_metric_Ek)
chain_sum_probability_weighted,per_unit,4,1,10,1,0,0,0,0,valid,sum_over_stage(P_total_Ek * severity_metric_Ek)
chain_sum_probability_weighted,percent,4,1,10,1,0,0,0,0,valid,sum_over_stage(P_total_Ek * severity_metric_Ek)
chain_sum_severity,per_unit,4,1,10,1,0,0,0,0,valid,sum_over_stage(severity_metric_Ek)
chain_sum_severity,percent,4,1,10,1,0,0,0,0,valid,sum_over_stage(severity_metric_Ek)
chain_max_severity,per_unit,4,1,10,1,0,0,0,0,valid,max_over_stage(severity_metric_Ek)
chain_max_severity,percent,4,1,10,1,0,0,0,0,valid,max_over_stage(severity_metric_Ek)
chain_final_stage_severity,per_unit,4,1,10,1,0,0,0,0,valid,final available stage severity_metric
chain_final_stage_severity,percent,4,1,10,1,0,0,0,0,valid,final available stage severity_metric
chain_mean_stage_severity,per_unit,4,1,10,1,0,0,0,0,valid,mean_over_stage(severity_metric_Ek)
chain_mean_stage_severity,percent,4,1,10,1,0,0,0,0,valid,mean_over_stage(severity_metric_Ek)
chain_sum_probability_weighted,per_unit,4,2,11,1,0,0,0,0,valid,sum_over_stage(P_total_Ek * severity_metric_Ek)
chain_sum_probability_weighted,percent,4,2,11,1,0,0,0,0,valid,sum_over_stage(P_total_Ek * severity_metric_Ek)
chain_sum_severity,per_unit,4,2,11,1,0,0,0,0,valid,sum_over_stage(severity_metric_Ek)
chain_sum_severity,percent,4,2,11,1,0,0,0,0,valid,sum_over_stage(severity_metric_Ek)
chain_max_severity,per_unit,4,2,11,1,0,0,0,0,valid,max_over_stage(severity_metric_Ek)
chain_max_severity,percent,4,2,11,1,0,0,0,0,valid,max_over_stage(severity_metric_Ek)
chain_final_stage_severity,per_unit,4,2,11,1,0,0,0,0,valid,final available stage severity_metric
chain_final_stage_severity,percent,4,2,11,1,0,0,0,0,valid,final available stage severity_metric
chain_mean_stage_severity,per_unit,4,2,11,1,0,0,0,0,valid,mean_over_stage(severity_metric_Ek)
chain_mean_stage_severity,percent,4,2,11,1,0,0,0,0,valid,mean_over_stage(severity_metric_Ek)
chain_sum_probability_weighted,per_unit,4,3,12,1,0,0,0,0,valid,sum_over_stage(P_total_Ek * severity_metric_Ek)
chain_sum_probability_weighted,percent,4,3,12,1,0,0,0,0,valid,sum_over_stage(P_total_Ek * severity_metric_Ek)
chain_sum_severity,per_unit,4,3,12,1,0,0,0,0,valid,sum_over_stage(severity_metric_Ek)
chain_sum_severity,percent,4,3,12,1,0,0,0,0,valid,sum_over_stage(severity_metric_Ek)
chain_max_severity,per_unit,4,3,12,1,0,0,0,0,valid,max_over_stage(severity_metric_Ek)
chain_max_severity,percent,4,3,12,1,0,0,0,0,valid,max_over_stage(severity_metric_Ek)
chain_final_stage_severity,per_unit,4,3,12,1,0,0,0,0,valid,final available stage severity_metric
chain_final_stage_severity,percent,4,3,12,1,0,0,0,0,valid,final available stage severity_metric
chain_mean_stage_severity,per_unit,4,3,12,1,0,0,0,0,valid,mean_over_stage(severity_metric_Ek)
chain_mean_stage_severity,percent,4,3,12,1,0,0,0,0,valid,mean_over_stage(severity_metric_Ek)
chain_sum_probability_weighted,per_unit,5,1,13,1,0,0,0,0,valid,sum_over_stage(P_total_Ek * severity_metric_Ek)
chain_sum_probability_weighted,percent,5,1,13,1,0,0,0,0,valid,sum_over_stage(P_total_Ek * severity_metric_Ek)
chain_sum_severity,per_unit,5,1,13,1,0,0,0,0,valid,sum_over_stage(severity_metric_Ek)
chain_sum_severity,percent,5,1,13,1,0,0,0,0,valid,sum_over_stage(severity_metric_Ek)
chain_max_severity,per_unit,5,1,13,1,0,0,0,0,valid,max_over_stage(severity_metric_Ek)
chain_max_severity,percent,5,1,13,1,0,0,0,0,valid,max_over_stage(severity_metric_Ek)
chain_final_stage_severity,per_unit,5,1,13,1,0,0,0,0,valid,final available stage severity_metric
chain_final_stage_severity,percent,5,1,13,1,0,0,0,0,valid,final available stage severity_metric
chain_mean_stage_severity,per_unit,5,1,13,1,0,0,0,0,valid,mean_over_stage(severity_metric_Ek)
chain_mean_stage_severity,percent,5,1,13,1,0,0,0,0,valid,mean_over_stage(severity_metric_Ek)
chain_sum_probability_weighted,per_unit,5,2,14,1,0,0,0,0,valid,sum_over_stage(P_total_Ek * severity_metric_Ek)
chain_sum_probability_weighted,percent,5,2,14,1,0,0,0,0,valid,sum_over_stage(P_total_Ek * severity_metric_Ek)
chain_sum_severity,per_unit,5,2,14,1,0,0,0,0,valid,sum_over_stage(severity_metric_Ek)
chain_sum_severity,percent,5,2,14,1,0,0,0,0,valid,sum_over_stage(severity_metric_Ek)
chain_max_severity,per_unit,5,2,14,1,0,0,0,0,valid,max_over_stage(severity_metric_Ek)
chain_max_severity,percent,5,2,14,1,0,0,0,0,valid,max_over_stage(severity_metric_Ek)
chain_final_stage_severity,per_unit,5,2,14,1,0,0,0,0,valid,final available stage severity_metric
chain_final_stage_severity,percent,5,2,14,1,0,0,0,0,valid,final available stage severity_metric
chain_mean_stage_severity,per_unit,5,2,14,1,0,0,0,0,valid,mean_over_stage(severity_metric_Ek)
chain_mean_stage_severity,percent,5,2,14,1,0,0,0,0,valid,mean_over_stage(severity_metric_Ek)
chain_sum_probability_weighted,per_unit,5,3,15,1,0,0,0,0,valid,sum_over_stage(P_total_Ek * severity_metric_Ek)
chain_sum_probability_weighted,percent,5,3,15,1,0,0,0,0,valid,sum_over_stage(P_total_Ek * severity_metric_Ek)
chain_sum_severity,per_unit,5,3,15,1,0,0,0,0,valid,sum_over_stage(severity_metric_Ek)
chain_sum_severity,percent,5,3,15,1,0,0,0,0,valid,sum_over_stage(severity_metric_Ek)
chain_max_severity,per_unit,5,3,15,1,0,0,0,0,valid,max_over_stage(severity_metric_Ek)
chain_max_severity,percent,5,3,15,1,0,0,0,0,valid,max_over_stage(severity_metric_Ek)
chain_final_stage_severity,per_unit,5,3,15,1,0,0,0,0,valid,final available stage severity_metric
chain_final_stage_severity,percent,5,3,15,1,0,0,0,0,valid,final available stage severity_metric
chain_mean_stage_severity,per_unit,5,3,15,1,0,0,0,0,valid,mean_over_stage(severity_metric_Ek)
chain_mean_stage_severity,percent,5,3,15,1,0,0,0,0,valid,mean_over_stage(severity_metric_Ek)
