metric_variant,source_file,source_function_or_script,metric_name,formula_summary,probability_weighting,severity_definition,aggregation_level,scale_convention,confidence_or_var_handling,known_limitation,note
stage_level_risk_preview,src/main_preview_unified_stage_level_risk.m; src/risk/compute_stage_severity_metrics.m,main_preview_unified_stage_level_risk/compute_stage_severity_metrics,SLFOR,"stage risk=sum(P_Ek*stage severity); stage severity uses load loss ratio, exponential line overload, exponential voltage violation",P_total_Ek=P_line*P_wt*P_ge from unified diagnostic smoke,diagnostic stage-level severity,sum over recorded stages,"per-unit style values, not multiplied by 100",no VaR; stage-level expectation-like diagnostic preview,"same-run smoke only; not formal paper_formula and not all scenarios","Best current stage-level probability-times-severity diagnostic."
calibration_pilot_used,results/calibration/pilot/calibration_pilot_sim_metrics.csv; src/main_run_benchmark_calibration_pilot.m,main_run_benchmark_calibration_pilot,SLFOR,"uses paper_severity_markov_var when valid, otherwise weighted_markov_var fallback",mixed source depending on scenario output availability,mixed paper/basic severity source,scenario-level pilot metric,"per-unit style values, not multiplied by 100",takes sigma=0.95 metric from selected source file,"mixed metric source can create scale/source mismatch","This mixed source is why local search should not proceed before metric alignment."
raw_markov_var,src/main_run_markov_risk.m; src/risk/build_markov_risk_samples.m; src/risk/calc_markov_var_metrics.m,main_run_markov_risk/calc_markov_var_metrics,SNVOR,"LLR=total_load_shed_frac; LFOR/SNVOR from chain summary severity; CRI=0.6*SLLR+0.2*SLFOR+0.2*SNVOR",uniform chain sample weights,basic chain-level severity,chain sample empirical VaR,"per-unit style values, not multiplied by 100",empirical VaR at cfg.var_confidence_levels,"does not use paper Table 4-1 initial outage probability weights","Source inspection summary; not a paper-consistent definition."
weighted_markov_var,src/main_run_markov_risk_weighted.m; src/risk/build_markov_risk_samples.m; src/risk/calc_markov_var_metrics.m,main_run_markov_risk_weighted/calc_markov_var_metrics,SNVOR,"LLR=total_load_shed_frac; LFOR/SNVOR from chain summary severity; CRI=0.6*SLLR+0.2*SLFOR+0.2*SNVOR",sample_weight from paper Table 4-1 initial line outage probabilities,basic chain-level severity,weighted chain sample empirical VaR,"per-unit style values, not multiplied by 100",weighted empirical VaR at cfg.var_confidence_levels,"still uses basic severity, not confirmed paper SLLR/SLFOR/SNVOR formulas","This is the current calibration pilot fallback source when paper severity is unavailable."
paper_severity_markov_var,src/main_run_markov_risk_paper_severity.m; src/risk/calc_markov_var_metrics.m,main_run_markov_risk_paper_severity/calc_markov_var_metrics,SNVOR,"line-only paper severity if available; otherwise unavailable/diagnostic; CRI uses configured risk weights",internal stage probability details plus chain sample treatment; line-only P_wt=1 and P_ge=1 in current implementation,paper_formula line-only severity tables if valid,chain sample empirical VaR,"per-unit style values, not multiplied by 100",empirical VaR at cfg.var_confidence_levels,"line-only approximation; invalid-stage handling can make output diagnostic_only","Closest existing named paper-severity pipeline, but not confirmed formal paper metric."
chain_summary,results/*/markov_chain_summary.csv; src/risk/build_markov_risk_samples.m,build_markov_risk_samples,SNVOR,"LLR=total_load_shed_frac; LFOR/SNVOR from chain summary severity; CRI=0.6*SLLR+0.2*SLFOR+0.2*SNVOR",one row per completed chain; optional sample weights later,summarized end-of-chain consequences,chain-level summary,"per-unit style values",no direct VaR unless passed to calc_markov_var_metrics,"does not preserve every Markov stage severity","Useful provenance table, not itself a paper risk metric."
stage_level_risk_preview,src/main_preview_unified_stage_level_risk.m; src/risk/compute_stage_severity_metrics.m,main_preview_unified_stage_level_risk/compute_stage_severity_metrics,SNVOR,"stage risk=sum(P_Ek*stage severity); stage severity uses load loss ratio, exponential line overload, exponential voltage violation",P_total_Ek=P_line*P_wt*P_ge from unified diagnostic smoke,diagnostic stage-level severity,sum over recorded stages,"per-unit style values, not multiplied by 100",no VaR; stage-level expectation-like diagnostic preview,"same-run smoke only; not formal paper_formula and not all scenarios","Best current stage-level probability-times-severity diagnostic."
calibration_pilot_used,results/calibration/pilot/calibration_pilot_sim_metrics.csv; src/main_run_benchmark_calibration_pilot.m,main_run_benchmark_calibration_pilot,SNVOR,"uses paper_severity_markov_var when valid, otherwise weighted_markov_var fallback",mixed source depending on scenario output availability,mixed paper/basic severity source,scenario-level pilot metric,"per-unit style values, not multiplied by 100",takes sigma=0.95 metric from selected source file,"mixed metric source can create scale/source mismatch","This mixed source is why local search should not proceed before metric alignment."
raw_markov_var,src/main_run_markov_risk.m; src/risk/build_markov_risk_samples.m; src/risk/calc_markov_var_metrics.m,main_run_markov_risk/calc_markov_var_metrics,CRI,"LLR=total_load_shed_frac; LFOR/SNVOR from chain summary severity; CRI=0.6*SLLR+0.2*SLFOR+0.2*SNVOR",uniform chain sample weights,basic chain-level severity,chain sample empirical VaR,"per-unit style values, not multiplied by 100",empirical VaR at cfg.var_confidence_levels,"does not use paper Table 4-1 initial outage probability weights","Source inspection summary; not a paper-consistent definition."
weighted_markov_var,src/main_run_markov_risk_weighted.m; src/risk/build_markov_risk_samples.m; src/risk/calc_markov_var_metrics.m,main_run_markov_risk_weighted/calc_markov_var_metrics,CRI,"LLR=total_load_shed_frac; LFOR/SNVOR from chain summary severity; CRI=0.6*SLLR+0.2*SLFOR+0.2*SNVOR",sample_weight from paper Table 4-1 initial line outage probabilities,basic chain-level severity,weighted chain sample empirical VaR,"per-unit style values, not multiplied by 100",weighted empirical VaR at cfg.var_confidence_levels,"still uses basic severity, not confirmed paper SLLR/SLFOR/SNVOR formulas","This is the current calibration pilot fallback source when paper severity is unavailable."
paper_severity_markov_var,src/main_run_markov_risk_paper_severity.m; src/risk/calc_markov_var_metrics.m,main_run_markov_risk_paper_severity/calc_markov_var_metrics,CRI,"line-only paper severity if available; otherwise unavailable/diagnostic; CRI uses configured risk weights",internal stage probability details plus chain sample treatment; line-only P_wt=1 and P_ge=1 in current implementation,paper_formula line-only severity tables if valid,chain sample empirical VaR,"per-unit style values, not multiplied by 100",empirical VaR at cfg.var_confidence_levels,"line-only approximation; invalid-stage handling can make output diagnostic_only","Closest existing named paper-severity pipeline, but not confirmed formal paper metric."
chain_summary,results/*/markov_chain_summary.csv; src/risk/build_markov_risk_samples.m,build_markov_risk_samples,CRI,"LLR=total_load_shed_frac; LFOR/SNVOR from chain summary severity; CRI=0.6*SLLR+0.2*SLFOR+0.2*SNVOR",one row per completed chain; optional sample weights later,summarized end-of-chain consequences,chain-level summary,"per-unit style values",no direct VaR unless passed to calc_markov_var_metrics,"does not preserve every Markov stage severity","Useful provenance table, not itself a paper risk metric."
stage_level_risk_preview,src/main_preview_unified_stage_level_risk.m; src/risk/compute_stage_severity_metrics.m,main_preview_unified_stage_level_risk/compute_stage_severity_metrics,CRI,"stage risk=sum(P_Ek*stage severity); stage severity uses load loss ratio, exponential line overload, exponential voltage violation",P_total_Ek=P_line*P_wt*P_ge from unified diagnostic smoke,diagnostic stage-level severity,sum over recorded stages,"per-unit style values, not multiplied by 100",no VaR; stage-level expectation-like diagnostic preview,"same-run smoke only; not formal paper_formula and not all scenarios","Best current stage-level probability-times-severity diagnostic."
calibration_pilot_used,results/calibration/pilot/calibration_pilot_sim_metrics.csv; src/main_run_benchmark_calibration_pilot.m,main_run_benchmark_calibration_pilot,CRI,"uses paper_severity_markov_var when valid, otherwise weighted_markov_var fallback",mixed source depending on scenario output availability,mixed paper/basic severity source,scenario-level pilot metric,"per-unit style values, not multiplied by 100",takes sigma=0.95 metric from selected source file,"mixed metric source can create scale/source mismatch","This mixed source is why local search should not proceed before metric alignment."
