metric_name,paper_required_feature,raw_markov_var,weighted_markov_var,paper_severity_markov_var,chain_summary,stage_level_risk_preview,calibration_pilot_used,match_status,gap_description,recommended_fix
SLFOR,uses_initial_outage_probability,no,yes,yes,no,no,yes,paper_definition_unconfirmed,Current paper inputs do not fully specify this required feature.,Ask user to provide original risk metric formula text/screenshots before local search.
SLFOR,uses_confidence_level_or_var,yes,yes,yes,no,no,yes,paper_definition_unconfirmed,Current paper inputs do not fully specify this required feature.,Ask user to provide original risk metric formula text/screenshots before local search.
SLFOR,uses_percent_scale,no,no,no,no,no,no,paper_definition_unconfirmed,Current paper inputs do not fully specify this required feature.,Ask user to provide original risk metric formula text/screenshots before local search.
SLFOR,uses_weighted_CRI,yes,yes,yes,yes,yes,yes,paper_definition_unconfirmed,Current paper inputs do not fully specify this required feature.,Ask user to provide original risk metric formula text/screenshots before local search.
SLFOR,uses_all_initial_faults,yes,yes,yes,yes,no_smoke_subset_only,yes,paper_definition_unconfirmed,Current paper inputs do not fully specify this required feature.,Ask user to provide original risk metric formula text/screenshots before local search.
SLFOR,uses_markov_trial_average,empirical_distribution,empirical_distribution,empirical_distribution,not_aggregated,sum_over_stage_records,empirical_distribution,paper_definition_unconfirmed,Current paper inputs do not fully specify this required feature.,Ask user to provide original risk metric formula text/screenshots before local search.
SLFOR,uses_topology_scenario_average,no,no,no,no,no,no,paper_definition_unconfirmed,Current paper inputs do not fully specify this required feature.,Ask user to provide original risk metric formula text/screenshots before local search.
SNVOR,uses_line_probability,no,partial,partial,no,partial,partial,paper_definition_unconfirmed,Current paper inputs do not fully specify this required feature.,Ask user to provide original risk metric formula text/screenshots before local search.
SNVOR,uses_state_probability,no,no,partial_line_only_Pwt_Pge_equal_1,no,yes,no,paper_definition_unconfirmed,Current paper inputs do not fully specify this required feature.,Ask user to provide original risk metric formula text/screenshots before local search.
SNVOR,uses_stage_severity,no,no,partial,no,yes,no,paper_definition_unconfirmed,Current paper inputs do not fully specify this required feature.,Ask user to provide original risk metric formula text/screenshots before local search.
SNVOR,uses_chain_probability,yes,yes,yes,no,no,yes,paper_definition_unconfirmed,Current paper inputs do not fully specify this required feature.,Ask user to provide original risk metric formula text/screenshots before local search.
SNVOR,uses_initial_outage_probability,no,yes,yes,no,no,yes,paper_definition_unconfirmed,Current paper inputs do not fully specify this required feature.,Ask user to provide original risk metric formula text/screenshots before local search.
SNVOR,uses_confidence_level_or_var,yes,yes,yes,no,no,yes,paper_definition_unconfirmed,Current paper inputs do not fully specify this required feature.,Ask user to provide original risk metric formula text/screenshots before local search.
SNVOR,uses_percent_scale,no,no,no,no,no,no,paper_definition_unconfirmed,Current paper inputs do not fully specify this required feature.,Ask user to provide original risk metric formula text/screenshots before local search.
SNVOR,uses_weighted_CRI,yes,yes,yes,yes,yes,yes,paper_definition_unconfirmed,Current paper inputs do not fully specify this required feature.,Ask user to provide original risk metric formula text/screenshots before local search.
SNVOR,uses_all_initial_faults,yes,yes,yes,yes,no_smoke_subset_only,yes,paper_definition_unconfirmed,Current paper inputs do not fully specify this required feature.,Ask user to provide original risk metric formula text/screenshots before local search.
SNVOR,uses_markov_trial_average,empirical_distribution,empirical_distribution,empirical_distribution,not_aggregated,sum_over_stage_records,empirical_distribution,paper_definition_unconfirmed,Current paper inputs do not fully specify this required feature.,Ask user to provide original risk metric formula text/screenshots before local search.
SNVOR,uses_topology_scenario_average,no,no,no,no,no,no,paper_definition_unconfirmed,Current paper inputs do not fully specify this required feature.,Ask user to provide original risk metric formula text/screenshots before local search.
CRI,uses_line_probability,no,partial,partial,no,partial,partial,paper_definition_unconfirmed,Current paper inputs do not fully specify this required feature.,Ask user to provide original risk metric formula text/screenshots before local search.
CRI,uses_state_probability,no,no,partial_line_only_Pwt_Pge_equal_1,no,yes,no,paper_definition_unconfirmed,Current paper inputs do not fully specify this required feature.,Ask user to provide original risk metric formula text/screenshots before local search.
CRI,uses_stage_severity,no,no,partial,no,yes,no,paper_definition_unconfirmed,Current paper inputs do not fully specify this required feature.,Ask user to provide original risk metric formula text/screenshots before local search.
CRI,uses_chain_probability,yes,yes,yes,no,no,yes,paper_definition_unconfirmed,Current paper inputs do not fully specify this required feature.,Ask user to provide original risk metric formula text/screenshots before local search.
CRI,uses_initial_outage_probability,no,yes,yes,no,no,yes,paper_definition_unconfirmed,Current paper inputs do not fully specify this required feature.,Ask user to provide original risk metric formula text/screenshots before local search.
CRI,uses_confidence_level_or_var,yes,yes,yes,no,no,yes,paper_definition_unconfirmed,Current paper inputs do not fully specify this required feature.,Ask user to provide original risk metric formula text/screenshots before local search.
CRI,uses_percent_scale,no,no,no,no,no,no,paper_definition_unconfirmed,Current paper inputs do not fully specify this required feature.,Ask user to provide original risk metric formula text/screenshots before local search.
CRI,uses_weighted_CRI,yes,yes,yes,yes,yes,yes,paper_definition_unconfirmed,Current paper inputs do not fully specify this required feature.,Ask user to provide original risk metric formula text/screenshots before local search.
CRI,uses_all_initial_faults,yes,yes,yes,yes,no_smoke_subset_only,yes,paper_definition_unconfirmed,Current paper inputs do not fully specify this required feature.,Ask user to provide original risk metric formula text/screenshots before local search.
CRI,uses_markov_trial_average,empirical_distribution,empirical_distribution,empirical_distribution,not_aggregated,sum_over_stage_records,empirical_distribution,paper_definition_unconfirmed,Current paper inputs do not fully specify this required feature.,Ask user to provide original risk metric formula text/screenshots before local search.
CRI,uses_topology_scenario_average,no,no,no,no,no,no,paper_definition_unconfirmed,Current paper inputs do not fully specify this required feature.,Ask user to provide original risk metric formula text/screenshots before local search.
