scenario_id,check_item,expected_value,actual_value,match_status,severity,diagnosis_note
wind_speed_11_28,snapshot_status,built_from_scenario_library_no_powerflow,built_from_scenario_library_no_powerflow,matched,info,"Dry-run snapshot matches the intended paper target field."
wind_speed_11_28,branch_count,46,46,matched,info,"Dry-run snapshot matches the intended paper target field."
wind_speed_11_28,slack_bus,31,31,matched,info,"Dry-run snapshot matches the intended paper target field."
wind_speed_11_28,wind_injection_mode,distributed,distributed,matched,info,"Dry-run snapshot matches the intended paper target field."
wind_speed_11_28,wind_buses,30:39,30:39,matched,info,"Dry-run snapshot matches the intended paper target field."
wind_speed_11_28,wind_capacity_total_mw,3000,3000,matched,info,"Dry-run snapshot matches the intended paper target field."
wind_speed_11_28,wind_speed_mps,11.28,11.28,matched,info,"Dry-run snapshot matches the intended paper target field."
wind_speed_11_28,paper_wind_penetration,0.4,0.4,matched,info,"Dry-run snapshot matches the intended paper target field."
wind_speed_11_28,wind_penetration_basis,total_generation_capacity,total_generation_capacity,matched,info,"Dry-run snapshot matches the intended paper target field."
wind_speed_11_28,penetration_definition,wind_capacity_divided_by_total_generation_capacity,wind_capacity_divided_by_total_generation_capacity,matched,info,"Dry-run snapshot matches the intended paper target field."
wind_speed_11_28,load_based_wind_penetration,diagnostic_only,0.479675355719,info_only,info,"Auxiliary diagnostic field only; it is not used for paper target alignment."
wind_speed_11_28,wind_capacity_basis_match_status,matched,matched,matched,info,"Dry-run snapshot matches the intended paper target field."
wind_speed_11_28,capacity_allocation_rule,equal_capacity_per_wind_bus_from_total_wind_capacity_mw,equal_capacity_per_wind_bus_from_total_wind_capacity_mw,assumption_matched,info,"Allocation rule is confirmed from scenario struct, but remains an engineering convention unless the paper states per-bus allocation."
wind_speed_12_00,snapshot_status,built_from_scenario_library_no_powerflow,built_from_scenario_library_no_powerflow,matched,info,"Dry-run snapshot matches the intended paper target field."
wind_speed_12_00,branch_count,46,46,matched,info,"Dry-run snapshot matches the intended paper target field."
wind_speed_12_00,slack_bus,31,31,matched,info,"Dry-run snapshot matches the intended paper target field."
wind_speed_12_00,wind_injection_mode,distributed,distributed,matched,info,"Dry-run snapshot matches the intended paper target field."
wind_speed_12_00,wind_buses,30:39,30:39,matched,info,"Dry-run snapshot matches the intended paper target field."
wind_speed_12_00,wind_capacity_total_mw,3000,3000,matched,info,"Dry-run snapshot matches the intended paper target field."
wind_speed_12_00,wind_speed_mps,12,12,matched,info,"Dry-run snapshot matches the intended paper target field."
wind_speed_12_00,paper_wind_penetration,0.4,0.4,matched,info,"Dry-run snapshot matches the intended paper target field."
wind_speed_12_00,wind_penetration_basis,total_generation_capacity,total_generation_capacity,matched,info,"Dry-run snapshot matches the intended paper target field."
wind_speed_12_00,penetration_definition,wind_capacity_divided_by_total_generation_capacity,wind_capacity_divided_by_total_generation_capacity,matched,info,"Dry-run snapshot matches the intended paper target field."
wind_speed_12_00,load_based_wind_penetration,diagnostic_only,0.479675355719,info_only,info,"Auxiliary diagnostic field only; it is not used for paper target alignment."
wind_speed_12_00,wind_capacity_basis_match_status,matched,matched,matched,info,"Dry-run snapshot matches the intended paper target field."
wind_speed_12_00,capacity_allocation_rule,equal_capacity_per_wind_bus_from_total_wind_capacity_mw,equal_capacity_per_wind_bus_from_total_wind_capacity_mw,assumption_matched,info,"Allocation rule is confirmed from scenario struct, but remains an engineering convention unless the paper states per-bus allocation."
penetration_40pct,snapshot_status,built_from_scenario_library_no_powerflow,built_from_scenario_library_no_powerflow,matched,info,"Dry-run snapshot matches the intended paper target field."
penetration_40pct,branch_count,46,46,matched,info,"Dry-run snapshot matches the intended paper target field."
penetration_40pct,slack_bus,31,31,matched,info,"Dry-run snapshot matches the intended paper target field."
penetration_40pct,wind_injection_mode,distributed,distributed,matched,info,"Dry-run snapshot matches the intended paper target field."
penetration_40pct,wind_buses,30:39,30:39,matched,info,"Dry-run snapshot matches the intended paper target field."
penetration_40pct,wind_capacity_total_mw,3000,3000,matched,info,"Dry-run snapshot matches the intended paper target field."
penetration_40pct,wind_speed_mps,12,12,matched,info,"Dry-run snapshot matches the intended paper target field."
penetration_40pct,paper_wind_penetration,0.4,0.4,matched,info,"Dry-run snapshot matches the intended paper target field."
penetration_40pct,wind_penetration_basis,total_generation_capacity,total_generation_capacity,matched,info,"Dry-run snapshot matches the intended paper target field."
penetration_40pct,penetration_definition,wind_capacity_divided_by_total_generation_capacity,wind_capacity_divided_by_total_generation_capacity,matched,info,"Dry-run snapshot matches the intended paper target field."
penetration_40pct,load_based_wind_penetration,diagnostic_only,0.479675355719,info_only,info,"Auxiliary diagnostic field only; it is not used for paper target alignment."
penetration_40pct,wind_capacity_basis_match_status,matched,matched,matched,info,"Dry-run snapshot matches the intended paper target field."
penetration_40pct,capacity_allocation_rule,equal_capacity_per_wind_bus_from_total_wind_capacity_mw,equal_capacity_per_wind_bus_from_total_wind_capacity_mw,assumption_matched,info,"Allocation rule is confirmed from scenario struct, but remains an engineering convention unless the paper states per-bus allocation."
penetration_60pct,snapshot_status,built_from_scenario_library_no_powerflow,built_from_scenario_library_no_powerflow,matched,info,"Dry-run snapshot matches the intended paper target field."
penetration_60pct,branch_count,46,46,matched,info,"Dry-run snapshot matches the intended paper target field."
penetration_60pct,slack_bus,31,31,matched,info,"Dry-run snapshot matches the intended paper target field."
penetration_60pct,wind_injection_mode,distributed,distributed,matched,info,"Dry-run snapshot matches the intended paper target field."
penetration_60pct,wind_buses,30:39,30:39,matched,info,"Dry-run snapshot matches the intended paper target field."
penetration_60pct,wind_capacity_total_mw,4500,4500,matched,info,"Dry-run snapshot matches the intended paper target field."
penetration_60pct,wind_speed_mps,12,12,matched,info,"Dry-run snapshot matches the intended paper target field."
penetration_60pct,paper_wind_penetration,0.6,0.6,matched,info,"Dry-run snapshot matches the intended paper target field."
penetration_60pct,wind_penetration_basis,total_generation_capacity,total_generation_capacity,matched,info,"Dry-run snapshot matches the intended paper target field."
penetration_60pct,penetration_definition,wind_capacity_divided_by_total_generation_capacity,wind_capacity_divided_by_total_generation_capacity,matched,info,"Dry-run snapshot matches the intended paper target field."
penetration_60pct,load_based_wind_penetration,diagnostic_only,0.719513033579,info_only,info,"Auxiliary diagnostic field only; it is not used for paper target alignment."
penetration_60pct,wind_capacity_basis_match_status,matched,matched,matched,info,"Dry-run snapshot matches the intended paper target field."
penetration_60pct,capacity_allocation_rule,equal_capacity_per_wind_bus_from_total_wind_capacity_mw,equal_capacity_per_wind_bus_from_total_wind_capacity_mw,assumption_matched,info,"Allocation rule is confirmed from scenario struct, but remains an engineering convention unless the paper states per-bus allocation."
penetration_80pct,snapshot_status,built_from_scenario_library_no_powerflow,built_from_scenario_library_no_powerflow,matched,info,"Dry-run snapshot matches the intended paper target field."
penetration_80pct,branch_count,46,46,matched,info,"Dry-run snapshot matches the intended paper target field."
penetration_80pct,slack_bus,31,31,matched,info,"Dry-run snapshot matches the intended paper target field."
penetration_80pct,wind_injection_mode,distributed,distributed,matched,info,"Dry-run snapshot matches the intended paper target field."
penetration_80pct,wind_buses,30:39,30:39,matched,info,"Dry-run snapshot matches the intended paper target field."
penetration_80pct,wind_capacity_total_mw,6000,6000,matched,info,"Dry-run snapshot matches the intended paper target field."
penetration_80pct,wind_speed_mps,12,12,matched,info,"Dry-run snapshot matches the intended paper target field."
penetration_80pct,paper_wind_penetration,0.8,0.8,matched,info,"Dry-run snapshot matches the intended paper target field."
penetration_80pct,wind_penetration_basis,total_generation_capacity,total_generation_capacity,matched,info,"Dry-run snapshot matches the intended paper target field."
penetration_80pct,penetration_definition,wind_capacity_divided_by_total_generation_capacity,wind_capacity_divided_by_total_generation_capacity,matched,info,"Dry-run snapshot matches the intended paper target field."
penetration_80pct,load_based_wind_penetration,diagnostic_only,0.959350711438,info_only,info,"Auxiliary diagnostic field only; it is not used for paper target alignment."
penetration_80pct,wind_capacity_basis_match_status,matched,matched,matched,info,"Dry-run snapshot matches the intended paper target field."
penetration_80pct,capacity_allocation_rule,equal_capacity_per_wind_bus_from_total_wind_capacity_mw,equal_capacity_per_wind_bus_from_total_wind_capacity_mw,assumption_matched,info,"Allocation rule is confirmed from scenario struct, but remains an engineering convention unless the paper states per-bus allocation."
